Code,Description,Unit_Cost,Unit_Price,Unit_Profit,Predicted_Amount_Sold,Margin%,Total_Cost,Total_Sale,Total_Profit,Month,Year
1798,Brahma Beer Chopp Pilsen 350Ml,2.74,3.19,0.45,211.36,13.99,579.11,673.31,94.2,4,2025
1802,Beer Skol Pilsen Lt 350Ml,2.91,3.35,0.44,180.84,13.15,526.25,605.93,79.68,4,2025
1805,Caracu Caracu 350Ml Beer,3.91,4.49,0.58,157.89,12.96,617.36,709.28,91.92,4,2025
2222,Baby Awaits Canninha (29) 600Ml,3.38,5.97,2.59,3.66,43.34,12.36,21.81,9.45,4,2025
2235,Creastle Crease 200G Requirement,6.66,10.13,3.47,64.25,34.27,427.88,650.97,223.09,4,2025
2257,Yellow Plaid Coloring 50Ml,3.38,6.47,3.09,3.17,47.74,10.72,20.51,9.79,4,2025
2259,Blue Blue 50Ml Dye,3.54,6.35,2.81,4.47,44.21,15.83,28.37,12.54,4,2025
2260,Brown Plaid Coloring 50Ml,3.43,6.48,3.05,2.81,47.1,9.65,18.24,8.59,4,2025
2261,Green Liquido 50Ml Chess Dye,3.52,6.35,2.83,7.36,44.59,25.91,46.76,20.85,4,2025
2262,Red Plaid Dye 50Ml,3.54,6.35,2.81,7.45,44.21,26.38,47.28,20.9,4,2025
2380,Landworm Hamburger Av/Bov56G,0.84,1.37,0.53,404.77,38.52,340.01,553.04,213.03,4,2025
2381,Frg 56Gr Landbank Hamburger,0.94,1.53,0.59,94.39,38.57,88.73,144.44,55.71,4,2025
2566,Fixacor Guarani Dye 40G,2.62,4.43,1.81,5.38,40.91,14.1,23.85,9.76,4,2025
2578,Agua Tonica Antarctica 350Ml,2.8,3.86,1.06,97.41,27.49,272.75,376.15,103.4,4,2025
2579,Agua Tonica Antarctica Diet 350Ml,2.91,3.8,0.89,39.32,23.33,114.43,149.25,34.82,4,2025
2585,Pure Bohemia Beer Malte Can 350Ml,2.91,3.48,0.57,66.23,16.37,192.72,230.44,37.72,4,2025
2586,Pilsen Tin 350Ml Bavaria Beer,2.07,2.54,0.47,1962.23,18.35,4061.82,4974.67,912.85,4,2025
2609,Insecticide K-Tothrine 30Ml,7.33,12.49,5.16,8.7,41.29,63.78,108.64,44.86,4,2025
2692,Isotonic Gatorade Orange 500Ml,4.83,6.99,2.16,73.99,30.9,357.39,517.2,159.82,4,2025
2694,Isotonic Gatorade Uva 500Ml,4.83,6.99,2.16,66.16,30.9,319.54,462.43,142.89,4,2025
2696,Isotonic Gatorade Morango Passable 5,4.83,6.99,2.16,64.32,30.9,310.66,449.58,138.92,4,2025
2721,Margarine Quuel Light W/Salt 250G,3.31,6.03,2.72,8.54,45.15,28.27,51.54,23.27,4,2025
2722,Pizza Sadia Calabresa 460G,11.93,20.07,8.14,11.09,40.56,132.33,222.62,90.3,4,2025
2724,Pizza Sadia Lomb Cat Mu 460G,11.55,19.43,7.88,7.17,40.56,82.84,139.37,56.53,4,2025
2725,Pizza Sadia Chicken With Cat Muss 460G,11.97,20.14,8.17,9.94,40.56,118.94,200.09,81.16,4,2025
2922,Insecticide Baygon Spiral 10X1,3.77,6.5,2.73,68.71,42.0,259.04,446.62,187.58,4,2025
2923,Insecticide Baygon Multi Insets Aero 285Ml,8.32,13.77,5.45,30.22,39.56,251.43,416.0,164.57,4,2025
2938,Insecticide Raid Protector 45N 32.9Ml,11.26,19.57,8.31,6.72,42.46,75.62,131.43,55.8,4,2025
2952,Soda Coca Cola Trad 350Ml,3.11,3.87,0.76,354.58,19.58,1102.74,1371.23,268.49,4,2025
2953,Soda Coca Cola Original 2Lt,8.55,10.14,1.59,1777.53,15.65,15197.91,18017.67,2819.77,4,2025
2954,Soda Coca Cola Trad 600Ml,4.48,5.6,1.12,123.51,19.98,553.34,691.51,138.16,4,2025
2955,Soda Coca Cola Tradition 1.5Lt,6.99,8.39,1.4,134.57,16.64,940.66,1128.43,187.77,4,2025
3090,Sponge Sponge Mult Un Bettanin,1.28,3.22,1.94,42.22,60.3,54.04,136.13,82.09,4,2025
3093,Sponge Sponge,1.64,4.02,2.38,25.5,59.22,41.83,102.57,60.74,4,2025
3100,Sanilux S/Sup,10.9,20.18,9.28,4.15,45.98,45.25,83.77,38.52,4,2025
3110,Sponge Spurebom Cleaner Lv4X1,3.68,7.27,3.59,56.24,49.39,206.95,408.92,201.96,4,2025
3112,Baby Awaits Canninha (51) 965Ml,6.43,9.27,2.84,74.04,30.61,476.08,686.1,210.01,4,2025
3114,Baby Baby (29) Pet 500Ml,2.07,3.31,1.24,55.42,37.42,114.72,183.32,68.6,4,2025
3199,Dafruta Caju 500Ml Juice,2.27,3.67,1.4,54.23,38.1,123.09,198.86,75.76,4,2025
3200,Dafruta Passion Fruit 500Ml Juice,4.29,6.61,2.32,22.79,35.08,97.78,150.61,52.84,4,2025
3251,Rayovac Eletronic V23Ga 12V,3.85,5.65,1.8,4.85,31.83,18.66,27.37,8.71,4,2025
3256,Alkaline Rayovac Aa Pq Pct 2X1,4.2,8.07,3.87,5.65,47.95,23.73,45.59,21.86,4,2025
3666,Sponge Mult Use Wish D/Face,0.45,1.09,0.64,541.82,58.79,243.82,591.65,347.83,4,2025
3671,Baby Brandy Sao Joao Bar900Ml,10.59,16.55,5.96,3.94,36.01,41.77,65.28,23.51,4,2025
3672,Baby Brandy President 900Ml,8.88,14.8,5.92,4.3,40.02,38.23,63.73,25.51,4,2025
3977,Crem Crem Itambe Trad 200G,7.36,11.51,4.15,70.58,36.03,519.46,812.04,292.58,4,2025
3978,Itambe Light 200G Curd,7.36,9.59,2.23,23.16,23.22,170.45,222.0,51.55,4,2025
4108,750Ml Red Ki-Joia Wax,3.24,5.13,1.89,28.12,36.88,91.12,144.36,53.24,4,2025
4109,Yellow Ki-Joia Wax 750Ml,2.94,5.14,2.2,3.71,42.83,10.89,19.06,8.16,4,2025
4110,Ki-Joia Colorless Wax 750Ml,3.23,5.14,1.91,44.09,37.12,142.42,226.49,84.07,4,2025
4111,Wax Ki-Joia 750Ml,3.23,5.14,1.91,20.7,37.19,66.88,106.47,39.6,4,2025
4112,Ki-Joia Wax 750Ml,2.95,5.14,2.19,4.47,42.66,13.17,22.98,9.8,4,2025
4297,Baby Cereser Apple S/Alc 660Ml,7.99,14.56,6.57,3.37,45.14,26.96,49.13,22.18,4,2025
4400,Water Sanitria Qboa 1Lt,2.61,4.35,1.74,174.17,39.96,454.58,757.13,302.55,4,2025
4401,Water Sanitia Qboa 2Lt,4.98,8.07,3.09,218.44,38.31,1087.84,1763.39,675.56,4,2025
4662,Detergent Ype Neutral 500Ml,1.34,2.0,0.66,432.23,32.9,579.19,863.17,283.98,4,2025
4663,Detergent Ype Apple 500Ml,1.4,1.99,0.59,376.84,29.74,527.58,750.89,223.31,4,2025
4664,Detergent Ype Lemon 500Ml,1.4,2.04,0.64,275.01,31.24,385.02,559.94,174.93,4,2025
4665,Detergent Ype Coconut 500Ml,1.4,2.02,0.62,360.98,30.58,505.38,728.0,222.62,4,2025
4666,Detergent Ype Clear 500Ml,1.33,2.04,0.71,515.55,34.9,685.68,1053.28,367.59,4,2025
4669,Detergent Ype Clear Care 500Ml,1.4,2.0,0.6,137.54,29.87,192.55,274.57,82.01,4,2025
5242,Japanese Pastel Mass Media 500G,6.76,11.81,5.05,55.6,42.77,375.87,656.77,280.9,4,2025
5432,Clean Glass Zupp 500Ml,2.49,4.52,2.03,3.49,44.86,8.7,15.78,7.08,4,2025
5433,Zupp Zupp Tiles,3.32,5.19,1.87,5.27,36.05,17.49,27.35,9.86,4,2025
5608,Multipurpose Tudo Traditional 500Ml,1.93,4.28,2.35,39.02,54.86,75.32,166.85,91.54,4,2025
5610,Multipurpose Tudo Lemon Campestre 2Em1 500,1.45,3.04,1.59,16.28,52.32,23.61,49.51,25.9,4,2025
5645,Clean Alum Polyrístri Tr 500Ml,2.0,3.63,1.63,33.32,44.94,66.65,121.04,54.4,4,2025
5647,Polyter Lavender 140Ml Essence,5.95,10.99,5.04,1.63,45.88,9.69,17.91,8.22,4,2025
5648,Naftaline Politizer 50G,1.9,3.23,1.33,60.54,41.1,115.02,195.28,80.26,4,2025
5653,Green Polytrix Wax 750Ml,3.39,5.47,2.08,4.12,38.08,13.97,22.56,8.59,4,2025
5654,750Ml Yellow Policy Wax,2.85,4.6,1.75,1.67,38.08,4.76,7.69,2.93,4,2025
5848,Berinight Ice Lemon 375Ml,1.85,2.79,0.94,27.83,33.81,51.48,77.77,26.29,4,2025
6005,Alcohol Liquido Sol (46) 1Lt,4.21,7.31,3.1,97.03,42.41,408.49,709.31,300.82,4,2025
6038,Baby Espeed Pitu 965Ml,7.33,11.26,3.93,6.26,34.88,45.87,70.44,24.57,4,2025
6282,Milk L Life Compleite Integral 1L,4.0,4.16,0.16,7243.97,3.82,28975.88,30126.72,1150.84,4,2025
6284,Pastel Mass Jk 500G Large,6.47,11.33,4.86,43.59,42.89,282.05,493.86,211.82,4,2025
6285,Pastel Pastel Jk 500G Discation,6.47,11.33,4.86,50.44,42.88,326.36,571.36,245.0,4,2025
6401,Baby Round Mor 900Ml,10.81,16.44,5.63,1.56,34.25,16.82,25.59,8.76,4,2025
6428,Baby Brandy Ginger D And I 900Ml,6.5,10.59,4.09,2.79,38.62,18.14,29.56,11.42,4,2025
6746,Juice Del Valle Pineapple 1Lt,4.07,5.87,1.8,5.25,30.66,21.39,30.84,9.46,4,2025
6948,Sol Sol 1Kg,13.89,17.09,3.2,602.0,18.74,8361.82,10290.2,1928.38,4,2025
7045,Clean Pedrex Floors 2Lt,10.7,16.83,6.13,9.1,36.44,97.39,153.23,55.84,4,2025
7253,Removex 1Lt Remover,6.07,10.16,4.09,21.13,40.26,128.25,214.67,86.43,4,2025
7262,Banana Nanica Promota Kg,2.53,1.87,-0.66,37.16,-35.45,94.01,69.4,-24.6,4,2025
7264,Baby Catuaba Da Raca 500Ml,2.08,3.31,1.23,10.82,37.17,22.5,35.81,13.31,4,2025
7267,Baby Brandy Caninha Sert 970Ml,4.08,7.33,3.25,29.53,44.31,120.49,216.35,95.86,4,2025
7268,Baby Cho Rita 600Ml,3.34,4.96,1.62,4.8,32.64,16.03,23.8,7.77,4,2025
7269,Baby Brandy Cries Rita 490Ml,2.06,2.98,0.92,30.31,30.83,62.44,90.28,27.83,4,2025
7270,Dullon 900Ml Brandy Baby,5.13,8.27,3.14,4.0,37.97,20.5,33.05,12.55,4,2025
7875,Soap Barra Procae Glic 1Kg,6.98,12.55,5.57,11.33,44.4,79.11,142.28,63.17,4,2025
7876,Soap Barra Blue Procure 1Kg,6.98,12.55,5.57,10.22,44.4,71.3,128.25,56.94,4,2025
7879,Sheet Water Proeish 1L,1.49,2.64,1.15,142.37,43.58,212.14,375.99,163.86,4,2025
7884,Softener Feature Emocao 2Lt,2.2,4.4,2.2,60.46,49.99,133.02,265.98,132.96,4,2025
7885,Softener Sensac 2Lt,2.2,4.4,2.2,10.74,49.98,23.63,47.23,23.61,4,2025
7890,Detergent Proeza Clear 500Ml,0.82,1.43,0.61,190.77,42.6,156.43,272.53,116.1,4,2025
7891,Detergent Procure Apple 500Ml,0.82,1.48,0.66,538.62,44.65,441.67,797.96,356.29,4,2025
7892,Detergent Proeza Lemon 500Ml,0.76,1.37,0.61,383.84,44.44,291.71,525.04,233.33,4,2025
7893,Detergent Poice Neutral 500Ml,0.77,1.4,0.63,414.63,44.9,319.27,579.43,260.17,4,2025
7919,Disinf Eucalyptus 2Lt,2.88,4.39,1.51,45.77,34.34,131.81,200.75,68.94,4,2025
7920,Disinf Proease Lallada 2Lt,2.88,4.38,1.5,64.43,34.3,185.57,282.45,96.88,4,2025
7981,Desinf Proeza Willvestre 2Lt,2.88,4.39,1.51,129.57,34.4,373.16,568.84,195.68,4,2025
8286,Water Min Crystal S/Gas 500Ml,1.19,1.94,0.75,482.43,38.55,574.09,934.25,360.15,4,2025
8288,Min Crystal Water With Gas 500Ml,1.44,2.07,0.63,1056.8,30.3,1521.79,2183.34,661.55,4,2025
8289,Water Min Crystal S/Gas 1.5Lt,1.95,2.91,0.96,207.46,33.03,404.55,604.07,199.53,4,2025
8290,Crystal Min Crystal Water 1.5Lt,2.2,3.1,0.9,223.21,29.12,491.06,692.81,201.75,4,2025
8406,Bread King Integral Form 450G,4.72,7.66,2.94,92.17,38.38,435.06,706.03,270.98,4,2025
8407,Bread King Of Milk Shape 450G,4.74,7.83,3.09,186.71,39.43,885.03,1461.16,576.14,4,2025
8408,Bread King Traditional Form 450G,3.8,6.71,2.91,438.78,43.4,1667.35,2945.84,1278.5,4,2025
8409,Bread King Biscaguinha 300G,4.37,7.01,2.64,101.26,37.7,442.49,710.26,267.77,4,2025
8411,Pao Rei Hot Dog 600G,5.3,9.05,3.75,152.22,41.46,806.76,1378.13,571.37,4,2025
8442,Parmesao Cheese Piracanjuba 50G,3.5,7.2,3.7,29.94,51.4,104.79,215.62,110.83,4,2025
8498,Bread Of Home Bisnaguinha 300G,4.75,8.09,3.34,6.75,41.31,32.06,54.62,22.57,4,2025
8500,400G Home Bread,4.7,8.05,3.35,89.49,41.64,420.58,720.67,300.09,4,2025
8501,Bread Of Full Light 400G,4.7,8.05,3.35,64.17,41.63,301.59,516.69,215.1,4,2025
8502,Hot Dog 400G Bread,4.7,8.05,3.35,64.99,41.64,305.46,523.41,217.95,4,2025
8503,Bread Of Home Hamburguer 500G,4.7,8.05,3.35,46.3,41.63,217.62,372.83,155.21,4,2025
8533,Mass For Large Japanese Pastel 500G,6.83,11.82,4.99,110.8,42.23,756.76,1309.95,553.19,4,2025
8661,Juice Del Valle Manga 1Lt,4.07,5.87,1.8,6.58,30.66,26.78,38.63,11.84,4,2025
8770,Kellmat Granula 25G Kellmat,0.87,1.61,0.74,36.4,45.85,31.67,58.48,26.81,4,2025
9008,Bread Traditional Zafita 230G,6.62,11.39,4.77,11.32,41.9,74.94,128.99,54.04,4,2025
9529,Duracel Al Pa Aa2 2X1,5.51,9.84,4.33,4.28,44.0,23.59,42.12,18.53,4,2025
9688,Clean Porcelain Azulim Lav Power750M,7.16,10.92,3.76,3.01,34.46,21.56,32.89,11.33,4,2025
9886,Black Plaid Coloring 50Ml,3.54,6.35,2.81,10.17,44.21,35.99,64.51,28.52,4,2025
9893,Polyric Pine 140Ml Essence,5.42,10.01,4.59,7.84,45.88,42.51,78.55,36.04,4,2025
9897,Baby Country Caninha 500Ml,1.61,2.64,1.03,33.96,38.98,54.67,89.6,34.93,4,2025
10101,Isotonic Gatorade Lemon 500Ml,4.83,6.99,2.16,76.88,30.9,371.35,537.41,166.06,4,2025
10142,Chayote Promocao Kg,0.0,,,64.52,100.0,0.0,,,4,2025
10320,Soda Coca Glue Without Sucking 2Lt,8.55,11.25,2.7,309.78,23.98,2648.63,3484.12,835.49,4,2025
10617,Isotonic Gatorade Citr 500Ml Fruits,4.83,6.99,2.16,34.52,30.9,166.71,241.26,74.55,4,2025
10631,Isotonic Gatorade Tangerina 500Ml,4.83,6.99,2.16,24.37,30.9,117.7,170.33,52.63,4,2025
10636,Softener Ype Tenderness 500Ml,1.96,3.3,1.34,12.53,40.53,24.56,41.3,16.74,4,2025
10637,Softener Ype Warmth 500Ml,2.08,3.31,1.23,35.36,37.1,73.55,116.92,43.38,4,2025
10708,Barge Cyanamid/Fort Dodge 20Ml,3.73,8.0,4.27,25.09,53.37,93.57,200.67,107.1,4,2025
10888,Softener Ype Affection 2Lt,5.93,7.34,1.41,32.2,19.22,190.94,236.37,45.43,4,2025
11031,Soap Paste Atol Assolan 500G,7.73,13.34,5.61,4.26,42.06,32.95,56.88,23.92,4,2025
11054,Green Polyrístri Wax 1.75Lt,7.7,11.87,4.17,3.4,35.12,26.16,40.32,14.16,4,2025
11332,Bologna Sadia Tube 1Kg,7.52,13.23,5.71,13.02,43.14,97.91,172.19,74.28,4,2025
11370,Multi Use Ype Antibact 500Ml,2.52,4.08,1.56,2.95,38.31,7.44,12.06,4.62,4,2025
11480,Juice Del Valle Caju 1Lt,4.07,5.87,1.8,14.56,30.66,59.27,85.48,26.21,4,2025
11570,Chives,2.5,4.5,2.0,1199.43,44.44,2998.57,5396.99,2398.42,4,2025
11586,Cleans Azulim Glass 500Ml,2.5,4.09,1.59,7.05,38.84,17.62,28.82,11.19,4,2025
11800,Multipurpose All Citronella 3Em1 500Ml,1.45,2.94,1.49,15.25,50.74,22.12,44.9,22.78,4,2025
11890,Green Coconut,2.95,4.78,1.83,250.42,38.26,738.74,1196.54,457.8,4,2025
11901,Soda Coca Cola S/Cudar Tin 350Ml,3.11,4.18,1.07,200.53,25.67,623.66,839.04,215.38,4,2025
11971,Baby Arguad Baiano 500Ml,2.22,3.22,1.0,3.75,31.08,8.33,12.08,3.76,4,2025
12096,Multi Use Ype Class 500Ml 2 In 1,2.06,4.08,2.02,13.65,49.49,28.11,55.66,27.55,4,2025
12099,Ricca Chillly 1Lt,10.26,18.81,8.55,5.26,45.45,53.93,98.87,44.94,4,2025
12378,Stella Artois Long Neck 330Ml Beer,4.79,5.68,0.89,40.38,15.64,193.42,229.28,35.86,4,2025
12622,Nuggets Sadia Fran. C/ That 300G,4.2,7.34,3.14,7.81,42.79,32.82,57.36,24.55,4,2025
12790,Large Alkaline Rayovac Battery 2X1,16.98,30.88,13.9,2.94,45.01,49.94,90.82,40.88,4,2025
13085,Rust Tira Azulim 50Ml,4.38,7.66,3.28,4.17,42.83,18.26,31.94,13.68,4,2025
13299,Sanit Stone Zupp Marine 35G,1.62,3.41,1.79,6.03,52.53,9.77,20.58,10.81,4,2025
13301,Floral Sanit Stone 35G,1.62,3.39,1.77,3.5,52.26,5.68,11.89,6.21,4,2025
13376,Soda Coca Cola Zero 1.5Lt,6.99,8.34,1.35,56.91,16.19,397.77,474.61,76.84,4,2025
13512,Brondelli 500G Lasagna Mass,6.47,11.33,4.86,8.37,42.89,54.18,94.86,40.69,4,2025
13541,Insecticide Raid Protec Appeal,16.36,26.72,10.36,1.67,38.77,27.32,44.62,17.3,4,2025
13629,Detergent L Loucas Ype Clear 5L,13.18,19.32,6.14,4.3,31.79,56.63,83.03,26.4,4,2025
13874,Water Min Acqua Lia S/Gas Gl 5L Un,7.2,9.98,2.78,37.8,27.89,272.15,377.41,105.26,4,2025
14165,Oil Zupp Pine 120Ml,3.79,6.68,2.89,3.61,43.28,13.69,24.13,10.45,4,2025
14199,Loyola Emb 12X1 White Eggs,8.5,12.5,4.0,201.09,32.02,1709.27,2514.37,805.1,4,2025
14236,Red Loyola Eggs Cart Pvc 30X1,25.5,33.99,8.49,48.25,24.98,1230.35,1640.03,409.68,4,2025
14479,Nuggets Sadia Frg Trad 300G,4.98,8.07,3.09,4.95,38.26,24.65,39.92,15.27,4,2025
14614,Cream Cheese Philadelpia Orig 150G,9.56,17.69,8.13,3.61,45.97,34.47,63.8,29.33,4,2025
14682,Zupp Oil Lavender 120Ml,3.78,7.06,3.28,3.23,46.43,12.2,22.78,10.57,4,2025
14749,Detergent L Loucas Ype Neuto 5L,13.18,19.33,6.15,7.32,31.8,96.54,141.55,45.01,4,2025
15176,Multi Use Ype Rip Up Manc500Ml,2.29,4.08,1.79,6.11,43.9,14.0,24.95,10.95,4,2025
15388,Desinf Pinho Ype Lav 500Ml,3.4,5.84,2.44,2.85,41.75,9.68,16.62,6.94,4,2025
15389,Desinf Pinho Ype Trad 500Ml,3.4,5.84,2.44,2.82,41.75,9.59,16.46,6.87,4,2025
15530,Rayovac Peq Aa,0.59,1.17,0.58,65.56,49.41,38.68,76.45,37.78,4,2025
15634,Big Raiovac Battery,2.34,4.4,2.06,8.42,46.83,19.7,37.05,17.35,4,2025
15716,Desinf Pinho Sol Orig 500Ml,5.56,8.65,3.09,16.72,35.75,92.97,144.71,51.73,4,2025
15880,Pao Rei Hamburguer 600G,5.51,9.25,3.74,30.85,40.43,169.98,285.34,115.36,4,2025
16014,Citrus Sanitary Pad Pato,4.98,8.87,3.89,8.15,43.86,40.58,72.28,31.7,4,2025
16166,Incol 1.75Lt,7.7,11.87,4.17,3.17,35.12,24.39,37.6,13.2,4,2025
16225,Disinf Polyric Marin 1.75Lt,3.46,5.67,2.21,13.89,38.94,48.05,78.69,30.64,4,2025
16448,Packed Garlic Kg,19.73,38.66,18.93,15.32,48.97,302.23,592.26,290.03,4,2025
17381,Juice Grape Adhes,1.8,2.67,0.87,4.58,32.52,8.25,12.23,3.98,4,2025
17398,Coconut Agua Sococo 200Ml,2.35,3.68,1.33,8.17,36.07,19.21,30.04,10.84,4,2025
17608,Margarine Qualy S/Sal 500G,6.58,10.06,3.48,28.33,34.6,186.42,285.05,98.63,4,2025
17760,Delicate Ype Softener 2Lt,5.87,8.05,2.18,29.37,27.04,172.41,236.31,63.9,4,2025
17929,White Eggs Loyola Cart Pvc 30X1,19.0,27.99,8.99,556.4,32.12,10571.66,15574.05,5002.38,4,2025
18168,Baby Awaits 51 Gold 965Ml,10.11,13.83,3.72,4.52,26.92,45.7,62.54,16.83,4,2025
18170,300G White Unit Flower Cauliflower,6.51,9.49,2.98,160.84,31.38,1047.04,1525.85,478.81,4,2025
18305,Lavender Peroba Oil 200Ml,8.87,16.17,7.3,2.87,45.13,25.5,46.46,20.97,4,2025
18333,Alcohol Gel Crystal Start 500G,4.17,7.99,3.82,7.13,47.82,29.72,56.95,27.23,4,2025
18424,Detergent Profession Neutral 5Lt,9.48,17.09,7.61,9.45,44.54,89.63,161.61,71.98,4,2025
18575,Pizza Sadia 4 Cheeses 440G,12.31,18.98,6.67,9.21,35.15,113.42,174.9,61.48,4,2025
18640,Insecticide Raid Past Lv12 Pg 10,4.45,7.41,2.96,14.15,39.93,62.96,104.81,41.85,4,2025
18663,Sponge Bombril 60G,1.13,2.19,1.06,773.65,48.41,874.23,1694.56,820.34,4,2025
18704,Insect Sbp 45 Nightsref Ap Free,10.75,19.77,9.02,7.35,45.63,79.04,145.38,66.34,4,2025
18778,Veja Cleaning Pes Flor/C500Ml,6.42,10.6,4.18,2.95,39.41,18.95,31.27,12.32,4,2025
18814,Water Sheet Proeish 2L,2.57,4.14,1.57,640.99,37.86,1647.34,2651.02,1003.67,4,2025
19580,Thighs With Overcoxes Chicken Friato Band,9.94,14.95,5.01,28.84,33.49,286.69,431.04,144.36,4,2025
19692,Red Eggs Loyola Emb 12X1,9.87,14.0,4.13,121.25,29.51,1196.7,1697.69,500.99,4,2025
19846,Sponge Bath Ponjita Kids Animals,6.38,9.28,2.9,2.23,31.24,14.22,20.68,6.46,4,2025
19882,Liquido Wax For Colorless English 60Ml,5.88,9.58,3.7,2.64,38.6,15.5,25.24,9.74,4,2025
19886,Insecticide Sbp Refill Pellet 12H Lv12 Pg10,5.97,9.79,3.82,1.29,38.99,7.72,12.65,4.93,4,2025
20153,Margarine Quuel S/Sal 250G,3.62,6.23,2.61,35.6,41.87,128.86,221.68,92.82,4,2025
20155,Mixed Polytrix Sanit Stone 25G,0.93,1.98,1.05,548.69,53.02,510.28,1086.16,575.88,4,2025
20199,Steel Stainless Steel Steel 17G,3.34,6.01,2.67,10.02,44.39,33.48,60.21,26.73,4,2025
20252,Clean Azulim Start Acao Total Citrus 1L,5.24,9.09,3.85,6.05,42.35,31.71,55.01,23.3,4,2025
20292,Insect Sbp Aer Multi 450Ml Lv+ Pg-,10.18,16.9,6.72,69.6,39.76,708.53,1176.18,467.65,4,2025
20408,Figo Pre -Cooked Package 1.2Kg,11.76,21.31,9.55,6.62,44.81,77.83,141.02,63.19,4,2025
20590,Duracell Al Pq Aa 2,5.68,11.29,5.61,9.53,49.71,54.11,107.6,53.49,4,2025
20708,Bread Of The 300G,4.7,8.05,3.35,17.77,41.63,83.52,143.09,59.57,4,2025
20968,500G Church Feijoada Kit,10.16,16.9,6.74,31.46,39.88,319.64,531.67,212.03,4,2025
21064,Ype 1Lt Sanitary Water,2.59,4.26,1.67,107.81,39.23,279.24,459.5,180.26,4,2025
22063,50Ml Plaid Coloring,3.48,6.47,2.99,2.92,46.25,10.15,18.88,8.73,4,2025
22229,Yellow Raiovac Stack (Un),0.66,1.33,0.67,120.9,50.39,79.79,160.84,81.05,4,2025
22302,Kale,2.8,4.49,1.69,1206.71,37.64,3378.79,5418.2,2039.41,4,2025
22327,Bread King Of Corn 300Gr,4.36,7.34,2.98,4.66,40.57,20.31,34.18,13.87,4,2025
22692,Clean Oven Traditional Green Devil 250,7.31,13.22,5.91,6.18,44.72,45.19,81.76,36.56,4,2025
22704,Sponge Sponge Doesn'T Scratch,1.45,3.63,2.18,10.76,60.11,15.6,39.11,23.51,4,2025
22878,Potato Offer Kg,2.48,1.76,-0.72,78.03,-41.11,193.53,137.15,-56.38,4,2025
23032,Danone Activia Ameix 150Gr,2.6,4.16,1.56,15.53,37.57,40.37,64.67,24.3,4,2025
