Code,Description,Unit_Cost,Unit_Price,Amount_Sold,Margin%,MKP%,Total_Cost,Total_Sale
079743,Softener Mon Bijou + Maciez Rs 1.7Lt,5.6,9.99,3.0,38.21,61.83,16.81,29.97
075402,Softener Mon Bijou + 5Lt Protection,11.88,24.99,8.0,35.35,54.69,95.01,199.92
082235,Softener Mon Bijou +Perfume Fresh Fresh Home,5.62,9.99,18.0,38.0,61.28,101.2,179.82
074459,Softener Mon Bijou +Blue Perfume 1.7Lt,5.4,9.99,22.0,37.65,60.38,118.85,219.78
076469,"Softener Mon Bijou +Red Protection 1,",5.63,9.98,12.0,37.85,60.9,67.58,119.8
076743,Softener Monbijou +Blue Perfume 5Lt,11.62,24.99,17.0,36.76,58.14,197.46,424.83
007884,Softener Feature Emocao 2Lt,2.2,5.99,64.0,49.99,99.96,140.99,383.42
007885,Softener Sensac 2Lt,2.2,5.99,1.0,49.98,99.93,2.2,5.99
068220,Softener Ype Access 5L Gt 500Ml,12.55,26.03,32.0,34.42,52.48,401.5,832.87
010637,Softener Ype Warmth 500Ml,2.08,4.49,20.0,37.1,58.99,41.52,89.8
049484,Softener Ype Goodgo Lv2L Pg1.6L,4.61,9.14,402.0,31.36,45.68,1854.43,3674.92
010888,Softener Ype Affection 2Lt,5.93,9.99,3.0,19.22,23.79,17.8,29.97
073292,Softener Ype Concur Blue 1.5L Gt 250Ml,10.54,23.49,3.0,38.94,63.77,31.63,70.47
080584,Softener Ype Concur Blue 10%Des 500Ml,4.54,9.99,16.0,38.21,61.83,72.61,159.84
062676,Softener Ype Concentrated Blue 1Lt,8.97,19.99,2.0,38.92,63.73,17.95,39.98
028102,Softener Ype Concur Blue 500Ml,5.04,10.99,1.0,37.6,60.25,5.04,10.99
062791,Softener Ype Concentrated Delicate 1Lt,8.46,19.99,2.0,42.38,73.55,16.93,39.98
062675,Softener Ype Concentrated Pink 1Lt,8.97,19.99,4.0,38.92,63.73,35.9,79.96
054787,Softener Ype Concentrated.Delicated 500Ml,5.04,10.99,8.0,37.6,60.25,40.33,87.92
017760,Delicate Ype Softener 2Lt,5.87,10.95,47.0,27.04,37.06,275.95,514.53
068882,Softener Ype Intense Lv2L Pg1.6L,4.61,8.88,470.0,29.36,41.57,2168.11,4175.24
010636,Softener Ype Tenderness 500Ml,1.96,4.49,5.0,40.53,68.16,9.82,22.45
067531,Softener Ype Tenderness Lv2L Pg1.6L,4.61,8.38,64.0,25.1,33.51,295.23,536.17
027705,Imported Purple Purple Tray Kg,13.45,26.99,2.17,50.17,100.68,29.24,58.68
024739,National Plum In Bulk Kg,13.55,21.16,253.89,35.95,56.13,3441.11,5372.71
059840,Dry Plum Fruit Of The Valley S/Car 200G,6.51,16.99,7.0,49.97,99.88,45.59,118.93
048959,Anil Imperial Colman 90G,19.89,23.99,4.0,10.32,11.5,79.56,95.96
024115,Anti-Ferrug White Lub 300Ml,5.26,15.99,4.0,55.24,123.4,21.04,63.96
078192,Kell Lub 300Ml Antiferge,6.71,13.96,6.0,40.46,67.95,40.27,83.74
051292,Super Chicken Crispy Aperitif 300G,4.74,10.99,16.0,41.28,70.31,75.89,175.84
032958,Sliced ​​Chick Kg,9.92,26.99,293.51,50.01,100.06,2910.44,7921.12
039768,Presuunt Cold Pc Kg,9.92,17.29,10.7,21.98,28.17,106.1,185.0
074671,Presuunt Frrico Ponta Kg,9.92,20.0,30.06,32.54,48.25,298.04,601.07
074672,Presuunt Seara Ponta Kg,10.97,20.99,1.56,34.5,52.66,17.15,32.83
077256,Aromatiz Home Spray Casaflor Bamboo 2,17.01,29.99,1.0,38.64,62.97,17.01,29.99
077257,Aromatiz Home Spray Casaflor Harm Lav,17.01,29.99,1.0,38.64,62.97,17.01,29.99
077260,Aromatiz Home Spray Houseflor Req Cedr,17.01,29.99,1.0,38.64,62.97,17.01,29.99
024737,In Bulk Kg Chicken Wing,10.57,15.41,922.69,22.09,28.35,9748.69,14217.89
063386,Chicken Wing Cold Kg Kg,10.6,20.89,56.33,42.35,73.47,597.0,1176.75
029402,Chicken Wing Sp Chicken Bdj 1Kg,11.88,22.99,53.0,41.29,70.34,629.43,1218.32
039646,Afraine Afrainel Kg,13.33,24.79,11.46,46.22,85.93,152.8,284.1
067932,Smoked Bacon Sliced ​​Kg,23.14,45.98,35.31,43.45,76.83,817.1,1623.48
026890,Smoked Bacon Loss Kg,23.14,45.47,79.62,42.81,74.86,1842.68,3620.37
027053,Sounded Bacon Perdigation Pedaco A Vacu,23.14,53.89,70.12,51.75,107.25,1622.8,3779.02
080109,Cool Bacon In Cubes 250G,6.71,12.99,16.0,36.24,56.85,107.34,207.84
066745,Chicon Chic Sliced ​​Tray Kg,27.06,59.39,3.46,48.79,95.29,93.64,205.48
030358,Bacon Frrico Manta Kg,27.06,53.99,6.2,43.67,77.54,167.74,334.63
033039,Bacon Frrico Pedacos Kg,26.52,56.0,25.54,41.53,71.03,677.5,1430.52
024718,Bacon Sadia Kg Manta,22.56,42.77,18.09,40.72,68.7,408.13,773.61
075786,Bacon Lost Table Kg,27.07,48.99,0.86,37.92,61.09,23.28,42.13
058207,Bacon Qualitti Kg Cubes,13.5,37.36,0.14,59.86,149.15,1.89,5.23
066430,Sliced ​​Sliced ​​Bacon Tray Kg,23.14,52.79,3.27,50.75,103.04,75.62,172.52
040098,Bacon Sadia Pedaco Vacuo Kg,22.53,40.69,47.89,37.79,60.75,1078.81,1948.56
024585,Banana Apple In Bulk Kg,5.33,9.08,847.48,41.31,70.4,4517.03,7696.99
024517,Banana Marmelo In Bulk Kg,4.13,7.13,302.57,42.08,72.67,1249.79,2157.98
024518,Banana Nanica In Bulk Kg,2.49,3.57,6513.68,30.18,43.22,16218.5,23228.09
007262,Banana Nanica Promota Kg,2.53,1.87,27.53,-35.45,-26.17,69.75,51.5
024586,Silver Banana In Bulk Kg,4.42,7.58,3716.93,41.69,71.49,16423.18,28164.24
056007,Silver Banana Promocao Kg,4.16,2.17,36.41,-91.8,-47.86,151.33,78.9
024519,Banana Terra In Bulk Kg,3.28,4.97,1512.65,33.97,51.45,4967.17,7522.94
067033,Suina Suina Food Leader 600G,10.66,18.99,13.0,23.64,30.97,138.57,246.87
067034,800G Lider Switches,14.19,24.99,9.0,22.77,29.48,127.68,224.91
079621,Sadia Sádia 1Kg,9.92,19.99,18.0,35.02,53.89,178.48,359.82
010708,Barge Cyanamid/Fort Dodge 20Ml,3.73,7.99,26.0,53.37,114.45,96.87,207.74
024515,Sweet Potato In Bulk Kg,1.46,2.08,2838.98,29.61,42.06,4148.3,5893.13
046149,Sweet Potato Tray Kg,1.49,3.02,29.61,50.6,102.44,44.21,89.51
057860,Sweet Potato Offer Kg,1.58,0.99,15.31,-59.39,-37.26,24.16,15.16
074328,Potato Crinkle Stick Well Brazil 1.05Kg,15.34,30.89,10.0,38.52,62.66,153.38,308.9
044631,Potato Potato More Potatoes 2Kg,18.17,27.43,361.0,18.01,21.97,6557.57,9902.86
080650,Potato Toothpick Pre Fry Conga 1.05Kg,10.53,20.99,54.0,31.73,46.47,568.84,1133.46
051293,Potato Toothpick Pre Fried Congament 2Kg,17.78,36.99,18.0,34.61,52.93,320.03,665.82
044298,Potato Toothpick Pre Fried Cong Boua 400G,4.24,9.99,94.0,42.18,72.96,398.96,938.74
079724,Hortmix 300G Parsley Potato,8.5,14.49,7.0,41.34,70.47,59.5,101.43
024514,Potato In Bulk Kg,2.43,3.14,5342.4,22.77,29.48,12965.42,16788.11
066185,Potatoes Packed Kg,2.41,4.99,45.78,51.65,106.84,110.47,228.49
022878,Potato Offer Kg,2.48,1.76,276.05,-41.11,-29.14,685.92,486.07
080956,Alphacel Battery Alcal Ag10 Lr1130 1.5V,0.39,1.49,5.0,64.7,183.27,1.94,7.45
078865,Elgin Battery Appliance 9V Un,7.99,16.99,1.0,41.79,71.79,7.99,16.99
025231,Panassonic Alcal 9V Sm Battery,7.81,19.99,5.0,46.87,88.23,39.03,99.95
082363,Baby Absolut Sprite Lata 269Ml,4.25,9.19,4.0,30.14,43.15,17.01,36.76
002222,Baby Awaits Canninha (29) 600Ml,3.38,8.99,4.0,43.34,76.48,13.5,35.96
003112,Baby Awaits Canninha (51) 965Ml,6.43,13.98,96.0,30.61,44.12,617.01,1342.24
018168,Baby Awaits 51 Gold 965Ml,10.11,17.13,7.0,26.92,36.83,70.79,119.93
040701,Baby Espera 88 Old Cesar 965Ml,6.08,12.99,24.0,29.36,41.57,145.84,311.68
069446,Baby Espeed Canine Jamel 910Ml Pet,6.93,12.99,1.0,33.99,51.49,6.93,12.99
058761,Baby Espeed Canine Jamel Gold 900Ml,7.17,15.99,1.0,32.36,47.85,7.17,15.99
028675,Baby Espeed Pitu 600Ml,5.51,10.94,7.0,30.53,43.95,38.55,76.58
006038,Baby Espeed Pitu 965Ml,7.33,16.99,5.0,34.88,53.56,36.65,84.95
068709,Baby Espeed Ypioca Lima-Lemon 1Lt,11.46,22.99,1.0,24.75,32.89,11.46,22.99
003114,Baby Baby (29) Pet 500Ml,2.07,4.99,57.0,37.42,59.8,117.93,284.43
064859,Baby Banana Banana 900Ml,21.12,52.99,4.0,43.12,75.81,84.48,211.96
007267,Baby Brandy Caninha Sert 970Ml,4.08,9.97,20.0,44.31,79.57,81.53,199.32
007268,Baby Cho Rita 600Ml,3.34,7.49,6.0,32.64,48.46,20.06,44.94
007269,Baby Brandy Cries Rita 490Ml,2.06,3.99,24.0,30.83,44.57,49.49,95.76
073686,Black Stone Pocket Pet 200,3.88,10.69,5.0,56.4,129.35,19.38,53.45
011971,Baby Arguad Baiano 500Ml,2.22,3.99,2.0,31.08,45.09,4.44,7.98
006401,Baby Round Mor 900Ml,10.81,19.99,1.0,34.25,52.1,10.81,19.99
024184,Baby Birinight Ice Lemon 1Lt,3.73,8.98,29.0,40.74,68.74,108.27,260.49
005848,Berinight Ice Lemon 375Ml,1.85,3.99,29.0,33.81,51.08,53.71,115.71
053183,Bitter Bitter Sangalo 1Lt,14.04,34.69,2.0,49.31,97.29,28.08,69.38
077640,Bitter Bitter Sangalo Pockep Pet 200Ml,4.76,8.99,9.0,36.31,57.0,42.85,80.91
064745,Beb Cachaca Cabare Amburana 700Ml,25.1,43.99,1.0,19.6,24.38,25.1,43.99
051202,Baby Cachaca Select 1L,26.86,58.99,1.0,31.26,45.47,26.86,58.99
070979,Baby Cachaca Select 700Ml,27.46,49.99,1.0,31.99,47.03,27.46,49.99
038509,Baby Cachaca Ypioca S/Pal Our 965Ml,13.22,24.99,2.0,34.47,52.61,26.45,49.98
079017,Baby Campari 998Ml,32.12,68.99,7.0,29.72,42.29,224.84,482.93
009897,Baby Country Caninha 500Ml,1.61,3.99,34.0,38.98,63.88,54.83,135.66
070244,Baby Country Country Gold 970Ml,6.45,12.99,3.0,38.55,62.74,19.34,38.97
007264,Baby Catuaba Da Raca 500Ml,2.08,4.99,8.0,37.17,59.17,16.61,39.92
064522,Baby Catuaba Da Raca With Acai 500Ml,2.63,5.49,1.0,40.58,68.3,2.63,5.49
054858,Baby Catuaba Da Raca Pete 970Ml,4.15,9.99,11.0,37.37,59.67,45.6,109.89
076496,Baby Catuaba Wild Acai 900Ml,7.7,19.09,3.0,50.99,104.03,23.09,57.28
051516,Baby Catuaba Selvage Red Pet 1Lt,7.7,15.99,2.0,41.48,70.87,15.39,31.98
004297,Baby Cereser Apple S/Alc 660Ml,7.99,21.99,1.0,45.14,82.29,7.99,21.99
082256,Baby Champ Silver Rain Without Alcohol 660M,8.48,19.99,3.0,36.0,56.26,25.43,59.97
