Code,Description,Unit_Cost,Unit_Price,Unit_Profit,Amount_Sold,Margin%,Total_Cost,Total_Sale,Total_Profit,Month,Year
69268,Goya Mineral Water 1.5Lt,2.05,3.2,1.15,20.0,35.84,41.06,64.0,22.94,7,2024
32078,Native Mineral Water Delivery 20Lt Region,12.3,18.01,5.71,129.0,31.69,1586.7,2322.91,736.21,7,2024
65898,Long Mineral Water Distance 20L Distance,12.3,18.5,6.2,24.0,33.51,295.2,444.0,148.8,7,2024
32070,Native Mineral Water Ordinance,12.3,17.5,5.2,110.0,29.71,1353.0,1925.0,572.0,7,2024
78347,Water Sanitia Geo 2Lt,2.64,5.31,2.67,200.0,43.68,528.8,1061.75,532.95,7,2024
78348,Water Sanitia Geo 5Lt,6.66,12.99,6.33,76.0,39.57,506.02,987.24,481.22,7,2024
7879,Sheet Water Proeish 1L,1.42,2.99,1.57,192.0,44.67,272.58,574.08,301.5,7,2024
18814,Water Sheet Proeish 2L,2.4,4.32,1.92,497.0,36.89,1193.21,2146.98,953.77,7,2024
61373,5Lt Sheeting Water,6.63,12.99,6.36,42.0,42.22,278.41,545.58,267.17,7,2024
4400,Water Sanitria Qboa 1Lt,2.64,4.99,2.35,103.0,39.33,271.5,514.14,242.64,7,2024
4401,Water Sanitia Qboa 2Lt,4.67,8.37,3.7,122.0,36.89,569.84,1021.28,451.44,7,2024
31379,Water Sanitia Qboa 5Lt,10.66,19.22,8.56,40.0,37.28,426.21,768.6,342.39,7,2024
21064,Ype 1Lt Sanitary Water,2.38,4.99,2.61,97.0,46.14,230.5,484.03,253.53,7,2024
38838,Ype Bomb 5Lt Sanitary Water,9.7,16.91,7.21,63.0,35.12,610.93,1065.2,454.27,7,2024
67914,Ype Cloro Sanitary Water At Lv2Lt Pag1.8,3.61,8.49,4.88,3.0,49.62,10.83,25.47,14.64,7,2024
26366,Ype Water Ype Cloro Active 2Lt,4.3,8.49,4.19,148.0,42.75,636.12,1256.52,620.4,7,2024
10587,Zupp 1Lt Sanitria Water,2.04,4.01,1.97,23.0,39.69,46.92,92.17,45.25,7,2024
10897,Zupp 2Lt Sheeting Water,2.95,6.01,3.06,35.0,41.91,103.11,210.29,107.18,7,2024
78619,Agua Tonica Antarctica Zero Lt 269Ml,1.91,2.36,0.45,39.0,19.09,74.53,92.11,17.58,7,2024
2578,Agua Tonica Antarctica 350Ml,2.91,3.91,1.0,55.0,25.54,160.05,214.95,54.9,7,2024
2579,Agua Tonica Antarctica Diet 350Ml,2.85,3.65,0.8,19.0,21.94,54.1,69.31,15.21,7,2024
66061,Agua Tonica Anarctica Lt 269Ml,1.91,2.47,0.56,55.0,22.57,105.11,135.75,30.64,7,2024
74689,Agua Tonica Imperial City 350Ml,2.4,2.99,0.59,11.0,19.67,26.42,32.89,6.47,7,2024
74690,Agua Tonica Imperial City S/ Cudar 35,2.4,3.07,0.67,16.0,21.63,38.43,49.04,10.61,7,2024
52504,Water Tonica Schwepppes Quinino 350Ml,2.97,2.83,-0.14,18.0,-4.9,53.52,51.02,-2.5,7,2024
71729,Water Tonica Schwepppes,2.99,2.6,-0.39,10.0,-15.17,29.94,26.0,-3.94,7,2024
73654,Antis Act Ype Fresh 400G Antis Act Alcohol,11.96,4.99,-6.97,1.0,-168.2,11.96,4.99,-6.97,7,2024
18333,Alcohol Gel Crystal Start 500G,4.17,5.93,1.76,16.0,29.67,66.7,94.84,28.14,7,2024
27959,Alcohol Gel Start Lav 500G,3.78,7.99,4.21,2.0,43.47,7.57,15.98,8.41,7,2024
57561,Alcohol Gel Zupp Queim/Labared 80Inpm 44,4.65,9.99,5.34,1.0,44.45,4.65,9.99,5.34,7,2024
80365,Alcohol Liquido Pure House (46) 1Lt,3.77,7.49,3.72,15.0,37.89,56.52,112.35,55.83,7,2024
80366,Alcohol Liquido Pure House (46) 500Ml,2.2,4.49,2.29,7.0,39.64,15.37,31.43,16.06,7,2024
6005,Alcohol Liquido Sol (46) 1Lt,3.58,7.99,4.41,98.0,44.73,350.49,783.02,432.53,7,2024
67096,Alcohol Liquido Sol (46) 500Ml,2.23,5.0,2.77,61.0,44.85,136.15,304.75,168.6,7,2024
46469,Alcohol Start Gel Acend Fire 500G,4.38,9.99,5.61,1.0,47.22,4.38,9.99,5.61,7,2024
47896,Alcohol Zupp Et Hydronela 1L,6.98,14.99,8.01,1.0,44.46,6.98,14.99,8.01,7,2024
24724,Garlic A Bulk Kg,15.9,24.47,8.57,1322.77,26.17,21032.87,32372.19,11339.32,7,2024
16448,Packed Garlic Kg,14.74,33.88,19.14,13.87,56.493506493506494,204.47,469.9156,265.45,7,2024
14066,Soy Food Grape Ades 1Lt,5.75,10.99,5.24,3.0,47.67970882620564,17.25,32.97,15.72,7,2024
20633,Alv Vanish Ref Multipurpose 500Ml,6.27,10.99,4.72,5.0,42.94813466787989,31.34,54.95,23.61,7,2024
24342,Alv Vanish White 1.5Lt,17.97,34.49,16.52,3.0,47.89794143229923,53.92,103.47,49.55,7,2024
19565,Alvej Vanish 500Ml Multipurpose,7.38,14.74,7.36,6.0,49.93215739484396,44.3,88.44,44.14,7,2024
17340,Alvej Vanish Oxi Action Multi Power 450G,15.45,26.99,11.54,1.0,42.75657650981845,15.45,26.99,11.54,7,2024
22890,Alvej Vanish Ref White 500Ml,5.62,10.99,5.37,4.0,48.86260236578708,22.49,43.96,21.47,7,2024
21833,Alvej Vanish Takes Crystal White Spots,13.96,26.99,13.03,3.0,48.277139681363465,41.87,80.97,39.1,7,2024
14838,Alvej Vanish White 500Ml,6.94,13.49,6.55,10.0,48.55448480355819,69.4,134.9,65.5,7,2024
7058,Bresh Choro Vida Fl 1Lt,3.14,5.49,2.35,4.0,42.80510018214937,12.54,21.96,9.42,7,2024
7048,Bresh Cloro Vida Fre 1Lt,2.61,3.99,1.38,1.0,34.58646616541354,2.61,3.99,1.38,7,2024
52607,Bresh Star S/Chloro 1Lt,4.27,6.99,2.72,17.0,38.91273247496424,72.62,118.83,46.21,7,2024
52608,Bresh Star S/Chloro 2Lt,7.19,11.99,4.8,25.0,40.03336113427856,179.83,299.75,119.92,7,2024
13079,Bresh S/Cl Start Tuff 2Lt,9.06,14.99,5.93,2.0,39.55970647098065,18.11,29.98,11.87,7,2024
19641,Brise Start Without Chloo 1Lt,4.88,7.99,3.11,4.0,38.92365456821027,19.51,31.96,12.45,7,2024
27369,Bresh Ype Flower Prim 1Lt,2.76,6.49,3.73,6.0,57.47303543913714,16.57,38.94,22.37,7,2024
26459,Bleach Ype Florre Prim 2Lt,4.56,9.13,4.57,14.0,50.05476451259585,63.81,127.82,64.01,7,2024
10652,Floral Zupp 1Lt,3.0,5.99,2.99,1.0,49.91652754590985,3.0,5.99,2.99,7,2024
74288,Baby Soft Concentrated Red 500Ml Softener,5.53,12.49,6.96,1.0,55.72457966373099,5.53,12.49,6.96,7,2024
14791,Baby Soft Softener 2L,4.94,10.99,6.05,5.0,55.050045495905366,24.71,54.95,30.24,7,2024
74906,Baby Soft Soft Infinity Care Marsla,5.03,10.99,5.96,5.0,54.23111919927206,25.17,54.95,29.78,7,2024
29062,Baby Soft S Softener 2Lt,4.94,10.99,6.05,5.0,55.050045495905366,24.71,54.95,30.24,7,2024
14788,Baby Soft Soft Trad.2L,4.66,10.99,6.33,3.0,57.597816196542304,13.99,32.97,18.98,7,2024
69767,Softener Comfort Brisa Flower 1.8Lt,13.92,12.49,-1.43,6.0,-11.449159327461969,83.54,74.94,-8.6,7,2024
70462,Softener Comfort Concentrated Bisa El Lv 500,5.61,12.29,6.68,7.0,54.35313262815297,39.26,86.03,46.77,7,2024
62213,Softener Comfort Concentrated Cuid Essential 1,13.3,25.99,12.69,1.0,48.82647171989226,13.3,25.99,12.69,7,2024
62216,Softener Comfort Concentrated Deluxe Glamor,13.3,22.99,9.69,1.0,42.1487603305785,13.3,22.99,9.69,7,2024
78413,Softener Comfort Concentrated Energy Floral R,11.0,19.99,8.99,6.0,44.97248624312156,66.02,119.94,53.92,7,2024
64624,Softener Comfort Concentrated Fiber Prot 500M,7.31,12.49,5.18,2.0,41.47317854283427,14.62,24.98,10.36,7,2024
64617,Softener Comfort Concentrated Hydra Serum 50,7.25,11.85,4.6,7.0,38.81856540084388,50.73,82.95,32.22,7,2024
22131,Softener Comfort Concentrated Orig 500Ml,6.48,12.99,6.51,1.0,50.11547344110853,6.48,12.99,6.51,7,2024
50565,Softener Comfort Concentrated Orig400Lv500,5.59,11.92,6.33,7.0,53.104026845637584,39.15,83.44,44.29,7,2024
52153,Softener Comfort Concentrated Pur/Cuid Lv500 P,5.44,12.05,6.61,9.0,54.85477178423237,48.95,108.45,59.5,7,2024
63435,Softener Comfort Concentrated Pur/Cuid Sh 900,10.73,18.66,7.93,3.0,42.49732047159699,32.18,55.98,23.8,7,2024
67109,Pure Care Comfort Softener 1.8Lt,10.36,21.99,11.63,2.0,52.88767621646203,20.73,43.98,23.25,7,2024
68026,Softener Comfort Trad 1.8Lt,10.71,20.28,9.57,7.0,47.18934911242603,74.98,141.96,66.98,7,2024
80327,Softener Concentrated Aromasil Mrsa Casa Carin,5.61,6.99,1.38,9.0,19.742489270386265,50.49,62.91,12.42,7,2024
80330,Softener Concentrated Aromasil Mrsa Casa Grati,5.61,7.12,1.51,15.0,21.20786516853932,84.15,106.8,22.65,7,2024
80329,Softener Concentrated Aromasil Mrsa Casa Inspi,5.61,7.21,1.6,9.0,22.19140083217753,50.49,64.89,14.4,7,2024
78545,Softener Conci Pure Pure Tenderness 5,5.54,10.99,5.45,1.0,49.59053685168335,5.54,10.99,5.45,7,2024
78546,Fabric Softener Casaflor Floral Winds,5.54,10.99,5.45,1.0,49.59053685168335,5.54,10.99,5.45,7,2024
78584,Softener Concentrated Velvet Blue Sky 500Ml,4.53,9.99,5.46,2.0,54.65465465465466,9.06,19.98,10.92,7,2024
78585,Softener Concentrated Velvet Romance 500Ml,4.53,9.99,5.46,5.0,54.65465465465466,22.65,49.95,27.3,7,2024
78586,Softener Concentrated Velvet Secrets 500Ml,4.53,9.99,5.46,4.0,54.65465465465466,18.12,39.96,21.84,7,2024
79461,Softener Concentrated Ype Blue 1.5Lt,12.43,25.49,13.06,1.0,51.23577873675951,12.43,25.49,13.06,7,2024
75643,Softener Concentrated Ype Blue Sup Refiliation 900Ml,7.38,16.99,9.61,5.0,56.56268393172454,36.92,84.94999999999999,48.03,7,2024
75644,Softener Concentrated Ype Delicate Sup Refill 9,7.38,16.99,9.61,5.0,56.56268393172454,36.92,84.94999999999999,48.03,7,2024
79460,Softener Concentrated Ype Pink Garden 1.5Lt,12.43,25.49,13.06,1.0,51.23577873675951,12.43,25.49,13.06,7,2024
75642,Softener Concentrated Ype Pink Sup Refill 900Ml,7.38,16.99,9.61,2.0,56.56268393172454,14.77,33.98,19.21,7,2024
45467,Softener Concen Mon Bijou Classic 50,6.25,12.49,6.24,1.0,49.9599679743795,6.25,12.49,6.24,7,2024
66913,Softener Downy Concentrated Adoravel 450Ml,7.07,10.98,3.91,18.0,35.61020036429873,127.34,197.64,70.3,7,2024
74120,Softener Downy Concentrated Adoravel 900Ml,12.52,25.96,13.44,6.0,51.77195685670263,75.13,155.76,80.63,7,2024
64982,Softener Downy Concentrated Water Fresh 500Ml,6.7,11.57,4.87,14.0,42.09161624891962,93.87,161.98000000000002,68.11,7,2024
75092,Softener Downy Concentrated Brea De Verao Sc,15.33,25.99,10.66,6.0,41.015775298191606,91.96,155.94,63.98,7,2024
70411,Softener Downy Concrete Intense 50,6.17,11.92,5.75,31.0,48.238255033557046,191.31,369.52,178.21,7,2024
70596,Softener Downy Conca Intense+Pe,13.53,24.99,11.46,6.0,45.85834333733494,81.18,149.94,68.76,7,2024
79124,Softener Downy Concur Brisa 1Lt,12.76,24.99,12.23,4.0,48.93957583033213,51.05,99.96,48.91,7,2024
80058,Softener Downy Concentrated Brisa L500,5.26,9.6,4.34,111.0,45.208333333333336,584.06,1065.6,481.54,7,2024
60979,Softener Downy Concentrated Brisa Verao 1Lt,13.73,25.49,11.76,12.0,46.1357395056885,164.78,305.88,141.1,7,2024
27681,Softener Downy Concreo Verao 500M,5.6,12.73,7.13,5.0,56.00942655145327,28.02,63.650000000000006,35.63,7,2024
79341,Softener Downy Concreo Verao 500M,6.8,11.9,5.1,80.0,42.85714285714286,544.16,952.0,407.84,7,2024
80081,Softener Downy Concentrated Brisa+Intense Sa,23.06,39.99,16.93,4.0,42.335583895974,92.22,159.96,67.74,7,2024
43612,Softener Downy Concentrated Fresc/Prim 500Ml,7.25,12.35,5.1,15.0,41.29554655870445,108.74,185.25,76.51,7,2024
68259,Softener Downy Concentrated Fresh Freshness,13.86,24.99,11.13,2.0,44.53781512605042,27.72,49.98,22.26,7,2024
27679,Softener Downy Concentrated Lirio Camp 500Ml,7.04,11.53,4.49,33.0,38.94189071986123,232.37,380.49,148.12,7,2024
63500,"Softener Downy Concentrated Lyiros Do Campo1,",20.25,35.99,15.74,3.0,43.734370658516255,60.75,107.97,47.22,7,2024
61661,Softener Downy Concentrated Lyiros Do Campo1L,13.94,25.44,11.5,11.0,45.20440251572328,153.33,279.84000000000003,126.51,7,2024
66915,Softener Downy Concentrated Mistico 450Ml,6.99,11.05,4.06,20.0,36.742081447963805,139.88,221.0,81.12,7,2024
66914,Softener Downy Concixao 450Ml,7.34,11.05,3.71,4.0,33.574660633484164,29.36,44.2,14.84,7,2024
67320,Softener Downy Concixao 900Ml,13.59,25.9,12.31,7.0,47.52895752895753,95.13,181.3,86.17,7,2024
66260,Softener Downy Concentrated Sens Hippoalerg 4,7.08,10.49,3.41,8.0,32.50714966634891,56.62,83.92,27.3,7,2024
76456,Flom Antifrizz 500Ml Softener,4.3,6.96,2.66,17.0,38.2183908045977,73.05,118.32,45.27,7,2024
76454,Softener Flom Color Protect 500Ml,4.3,6.99,2.69,4.0,38.483547925608015,17.19,27.96,10.77,7,2024
76455,Softener Flom Sensitive Hypoalergenic,4.24,7.49,3.25,8.0,43.39118825100133,33.93,59.92,25.99,7,2024
76457,Traditional Flom Softener 500Ml,4.3,7.19,2.89,20.0,40.19471488178026,85.94,143.8,57.86,7,2024
79738,Softener Cute Concur Az Tudao 500Ml,5.3,10.71,5.41,2.0,50.51353874883288,10.61,21.42,10.81,7,2024
79677,Fold Softener Concentrated Chamego 500Ml,5.37,9.99,4.62,1.0,46.24624624624624,5.37,9.99,4.62,7,2024
70377,Fold Softener Concentrated Concio Info 500Ml,5.5,9.49,3.99,2.0,42.044257112750266,10.99,18.98,7.99,7,2024
61098,Softener Inf Vida Soft Glic/Almonds 5,2.97,5.49,2.52,7.0,45.90163934426229,20.79,38.43,17.64,7,2024
68471,Softener Inf Vida Soft Glic/Chamomile 5,2.97,5.49,2.52,9.0,45.90163934426229,26.73,49.41,22.68,7,2024
68805,Softener Inf Vida Soft Gli/ Almonds 1,5.37,9.99,4.62,11.0,46.24624624624624,59.02,109.89,50.87,7,2024
80208,Softener Inf Vida Soft Gli/ Camc,5.36,9.99,4.63,11.0,46.34634634634634,59.01,109.89,50.88,7,2024
69968,More Shaiting Qbom Sheet 2L,2.73,5.33,2.6,22.0,48.78048780487805,60.03,117.26,57.23,7,2024
70604,More Qbom Affection 2L Softener,2.69,5.18,2.49,22.0,48.06949806949807,59.12,113.96,54.84,7,2024
70605,More Qbom Child From 2L,2.82,5.54,2.72,11.0,49.09747292418773,31.05,60.94,29.89,7,2024
31598,Most Qbom Natural Softener 2L,2.68,5.27,2.59,16.0,49.14611005692599,42.92,84.32,41.4,7,2024
69967,More Qbom Softener Tenderness 2L,2.67,5.14,2.47,160.0,48.0544747081712,427.55,822.4,394.85,7,2024
70606,More Softener Qbom Tenderness 5L,7.04,14.99,7.95,63.0,53.03535690460307,443.69,944.37,500.68,7,2024
79856,Softener Mon Bijou + Care Bco 1.7Lt,5.41,12.99,7.58,5.0,58.35257890685143,27.04,64.95,37.91,7,2024
79743,Softener Mon Bijou + Maciez Rs 1.7Lt,4.72,12.99,8.27,1.0,63.66435719784449,4.72,12.99,8.27,7,2024
75402,Softener Mon Bijou + 5Lt Protection,13.89,24.99,11.1,4.0,44.41776710684273,55.56,99.96,44.4,7,2024
74459,Softener Mon Bijou +Blue Perfume 1.7Lt,5.44,8.99,3.55,12.0,39.48832035595105,65.32,107.88,42.56,7,2024
76469,"Softener Mon Bijou +Red Protection 1,",5.34,8.99,3.65,7.0,40.600667408231374,37.38,62.93,25.55,7,2024
76743,Softener Monbijou +Blue Perfume 5Lt,11.62,22.99,11.37,8.0,49.456285341452805,92.96,183.92,90.96,7,2024
7884,Softener Feature Emocao 2Lt,2.79,5.99,3.2,59.0,53.42237061769616,164.68,353.41,188.73,7,2024
68694,Softener Uau Concentrated Affection Conf 1L,12.92,18.99,6.07,1.0,31.964191679831483,12.92,18.99,6.07,7,2024
68698,Softener Uau Perfo Warm 2L,6.22,11.99,5.77,1.0,48.123436196830696,6.22,11.99,5.77,7,2024
73665,Softener Uau Perfa Glamor 2L,6.22,11.99,5.77,2.0,48.123436196830696,12.45,23.98,11.53,7,2024
68697,Softener Uau Perfo Seduction 2L,6.22,11.99,5.77,4.0,48.123436196830696,24.89,47.96,23.07,7,2024
54212,Bris Prim Blue Urca Blue Sabrator,8.08,18.05,9.97,15.0,55.23545706371191,121.19,270.75,149.56,7,2024
68220,Softener Ype Access 5L Gt 500Ml,12.68,26.49,13.81,22.0,52.13288033220083,279.0,582.78,303.78,7,2024
10637,Softener Ype Warmth 500Ml,2.14,4.49,2.35,14.0,52.338530066815146,30.03,62.86,32.83,7,2024
49484,Softener Ype Goodgo Lv2L Pg1.6L,4.61,8.06,3.45,492.0,42.80397022332506,2269.6,3965.52,1695.92,7,2024
63281,Softener Ype Concentrated Alchemy Charm 1Lt,8.82,19.99,11.17,2.0,55.877938969484745,17.64,39.98,22.34,7,2024
73292,Softener Ype Concur Blue 1.5L Gt 250Ml,12.07,23.49,11.42,1.0,48.6164325244785,12.07,23.49,11.42,7,2024
62676,Softener Ype Concentrated Blue 1Lt,8.82,19.99,11.17,1.0,55.877938969484745,8.82,19.99,11.17,7,2024
28102,Softener Ype Concur Blue 500Ml,5.04,10.99,5.95,1.0,54.14012738853503,5.04,10.99,5.95,7,2024
62791,Softener Ype Concentrated Delicate 1Lt,8.47,19.99,11.52,1.0,57.6288144072036,8.47,19.99,11.52,7,2024
33184,Softener Ype Concentrated Lil 500Ml,5.65,10.99,5.34,1.0,48.58962693357597,5.65,10.99,5.34,7,2024
28101,Softener Ype Concentrated Pink 500Ml,4.96,10.99,6.03,1.0,54.868061874431305,4.96,10.99,6.03,7,2024
33183,Softener Ype Concentrated Yel 500Ml,4.69,10.99,6.3,1.0,57.324840764331206,4.69,10.99,6.3,7,2024
17760,Delicate Ype Softener 2Lt,6.14,9.58,3.44,22.0,35.90814196242172,135.0,210.76,75.76,7,2024
68882,Softener Ype Intense Lv2L Pg1.6L,4.61,7.92,3.31,554.0,41.79292929292929,2555.6,4387.68,1832.08,7,2024
10636,Softener Ype Tenderness 500Ml,2.16,4.49,2.33,11.0,51.89309576837417,23.8,49.39,25.59,7,2024
61492,Softener Ype Tenderness 5Lt,14.68,28.99,14.31,2.0,49.36184891341841,29.37,57.98,28.61,7,2024
67531,Softener Ype Tenderness Lv2L Pg1.6L,4.61,8.07,3.46,136.0,42.874845105328376,627.37,1097.52,470.15,7,2024
5422,Romantic Zupp Softener 1.8L,4.79,8.49,3.7,2.0,43.580683156654885,9.58,16.98,7.4,7,2024
10554,Softener Zupp Touch Of Joy 1.8Lt,4.79,8.49,3.7,1.0,43.580683156654885,4.79,8.49,3.7,7,2024
10553,Softener Zupp Touch Soft 1.8Lt,4.79,8.49,3.7,2.0,43.580683156654885,9.58,16.98,7.4,7,2024
76739,Plum To Tozzi Syrup 150G,3.82,8.36,4.54,8.0,54.30622009569377,30.54,66.88,36.34,7,2024
24739,National Plum In Bulk Kg,16.06,22.22,6.16,78.1,27.72277227722773,1254.55,1735.3819999999998,480.83,7,2024
78552,Natural Tropical Dry Plum 2,9.1,18.99,9.89,3.0,52.08004212743549,27.29,56.97,29.68,7,2024
76740,Plum Dry Tozzi Lata 180G,5.16,11.49,6.33,1.0,55.09138381201044,5.16,11.49,6.33,7,2024
48959,Anil Imperial Colman 90G,19.89,23.99,4.1,1.0,17.090454355981652,19.89,23.99,4.1,7,2024
24115,Anti-Ferrug White Lub 300Ml,6.42,14.99,8.57,8.0,57.1714476317545,51.36,119.92,68.56,7,2024
80335,Wd40 300Ml Desengrigant Anti -Brug,33.9,59.99,26.09,1.0,43.49058176362728,33.9,59.99,26.09,7,2024
78192,Kell Lub 300Ml Antiferge,6.71,14.49,7.78,3.0,53.69220151828847,20.14,43.47,23.33,7,2024
51292,Super Chicken Crispy Aperitif 300G,4.68,10.99,6.31,18.0,57.41583257506825,84.19,197.82,113.63,7,2024
32958,Sliced ​​Chick Kg,9.68,19.78,10.1,391.0,51.06167846309404,3786.46,7733.98,3947.52,7,2024
39768,Presuunt Cold Pc Kg,9.68,16.15,6.47,16.85,40.06191950464396,163.14,272.1275,108.99,7,2024
74671,Presuunt Frrico Ponta Kg,9.68,14.93,5.25,47.22,35.16409912926993,457.25,704.9946,247.74,7,2024
74672,Presuunt Seara Ponta Kg,10.91,17.8,6.89,0.33,38.70786516853933,3.6,5.8740000000000006,2.27,7,2024
77257,Aromatiz Home Spray Casaflor Harm Lav,17.0,29.99,12.99,2.0,43.31443814604868,34.01,59.98,25.97,7,2024
24737,In Bulk Kg Chicken Wing,7.96,11.66,3.7,1149.63,31.73241852487136,9152.99,13404.6858,4251.7,7,2024
63386,Chicken Wing Cold Kg Kg,8.02,20.68,12.66,18.27,61.218568665377184,146.53,377.8236,231.29,7,2024
29402,Chicken Wing Sp Chicken Bdj 1Kg,9.05,17.7,8.65,31.0,48.870056497175135,280.61,548.6999999999999,268.09,7,2024
53976,Wing Chicken Pif Paf Conga Bdj 1Kg,9.45,17.99,8.54,27.0,47.47081712062256,255.21,485.73,230.52,7,2024
39646,Afraine Afrainel Kg,19.27,37.51,18.24,0.44,48.62703279125567,8.48,16.5044,8.02,7,2024
67932,Smoked Bacon Sliced ​​Kg,17.6,35.0,17.4,19.78,49.71428571428571,348.18,692.3000000000001,344.12,7,2024
26890,Smoked Bacon Loss Kg,17.25,39.48,22.23,8.73,56.306990881458965,150.55,344.6604,194.11,7,2024
80109,Cool Bacon In Cubes 250G,5.87,12.32,6.45,6.0,41.18,35.23,73.94,38.71,7,2024
33039,Bacon Frrico Pedacos Kg,23.48,50.0,26.52,34.65,42.02,813.67,1732.54,918.87,7,2024
24718,Bacon Sadia Kg Manta,16.73,33.55,16.82,66.81,43.97,1117.76,2241.27,1123.51,7,2024
24620,Bacon Rezende Kg,10.86,22.0,11.14,0.35,40.47,3.8,7.7,3.9,7,2024
66430,Sliced ​​Sliced ​​Bacon Tray Kg,17.24,38.99,21.75,19.61,50.34,338.01,764.81,426.8,7,2024
40098,Bacon Sadia Pedaco Vacuo Kg,16.88,39.59,22.71,145.79,52.1,2460.71,5772.33,3311.62,7,2024
24585,Banana Apple In Bulk Kg,8.14,13.13,4.99,470.64,37.99,3830.81,6177.56,2346.75,7,2024
27701,Banana Apple Promocao Kg,8.11,16.3,8.19,0.54,50.25,4.38,8.8,4.42,7,2024
24517,Banana Marmelo In Bulk Kg,4.13,6.65,2.52,398.96,37.86,1648.65,2653.03,1004.38,7,2024
24518,Banana Nanica In Bulk Kg,2.4,3.75,1.35,4804.56,35.93,11553.0,18032.63,6479.63,7,2024
7262,Banana Nanica Promota Kg,2.61,0.99,-1.62,21.19,-163.84,55.35,20.98,-34.37,7,2024
78554,Natural Tropical Banana 180G,5.62,7.99,2.37,3.0,21.03,16.85,23.97,7.12,7,2024
