Código   Descrição                                  Quant. Venda Un.      Custo     Compra        C.M.V Margem % Mkp            Venda
008289   AGUA MIN CRYSTAL S/GAS 1,5LT              198,000      2,91      386,30      386,30      386,30     33,03    49,32      576,82
071531   AGUA MIN LEBRINHA PREMIUM C/GAS 350ML      10,000      2,49       15,50       15,50       15,50     37,75    60,65       24,90
072640   AGUA MIN LEBRINHA PREMIUM C/GAS 500ML      11,000      2,39       15,84       15,84       15,84     39,75    65,97       26,29
071532   AGUA MIN LEBRINHA PREMIUM S/GAS 350ML       8,000      1,84       10,24       10,24       10,24     30,43    43,75       14,72
072685   AGUA MIN S/GAS PETROPOLITANA 510ML         11,000      1,99       15,52       15,52       15,52     29,10    41,03       21,89
068517   AGUA MINERAL CRYSTAL S/GAS 6LT              5,000      9,99       38,61       38,61       38,61     22,70    29,37       49,95
069268   AGUA MINERAL GOYA 1,5LT                    50,000      3,16      114,46      114,46      114,46     27,54    38,01      157,96
077467   AGUA MINERAL GOYA C/GAS 500ML              17,000      2,06       26,21       26,21       26,21     25,17    33,63       35,03
081255   AGUA MINERAL LEBRINHA S/ GAS 1,5LT         15,000      3,81       36,75       36,75       36,75     35,70    55,51       57,15
032078   AGUA MINERAL NATIVA ENTREGA REGIAO 20LT   116,000     18,58    1.474,40    1.474,40    1.474,40     31,58    46,15    2.154,82
065898   AGUA MINERAL NATIVA LONGA DISTANCIA 20L     7,000     19,21       89,60       89,60       89,60     33,38    50,11      134,50
032070   AGUA MINERAL NATIVA PORTARIA 20LT         132,000     18,06    1.676,80    1.676,80    1.676,80     29,66    42,18    2.384,00
069164   AGUA P/PASSAR ROUP BABY TROPICAL AROMA      2,000     12,89       15,08       17,14       17,14     33,51    50,41       25,78
007879   AGUA SANITARIA PROEZA 1L                  181,000      2,99      269,87      305,35      305,35     43,58    77,24      541,19
018814   AGUA SANITARIA PROEZA 2L                  658,000      4,75    1.689,74    1.941,10    1.941,10     37,86    60,92    3.123,58
061373   AGUA SANITARIA PROEZA 5LT                 117,000     12,99      801,68      906,75      906,75     40,34    67,61    1.519,83
004400   AGUA SANITARIA QBOA 1LT                   220,000      4,99      573,74      659,07      659,07     39,96    66,57    1.097,80
004401   AGUA SANITARIA QBOA 2LT                   208,000      9,14    1.036,51    1.172,38    1.172,38     38,31    62,09    1.900,34
031379   AGUA SANITARIA QBOA 5LT                    73,000     19,99      820,98      928,60      928,60     36,36    57,12    1.459,06
021064   AGUA SANITARIA YPE 1LT                    190,000      4,82      491,72      556,13      556,13     39,23    64,55      915,10
038838   AGUA SANITARIA YPE BOMB 5LT                20,000     19,99      205,64      232,60      232,60     41,82    71,88      399,80
026366   AGUA SANITARIA YPE CLORO ATIVO 2LT        143,000      9,00      665,93      753,26      753,26     41,45    70,78    1.286,43
078619   AGUA TONICA ANTARCTICA ZERO LT 269ML       63,000      2,59      116,74      116,74      116,74     28,32    39,52      162,87
002578   AGUA TONICA ANTARCTICA 350ML              132,000      3,86      369,10      369,10      369,10     27,49    37,92      509,06
002579   AGUA TONICA ANTARCTICA DIET 350ML          57,000      3,80      165,87      165,87      165,87     23,33    30,42      216,33
066061   AGUA TONICA ANTARCTICA LT 269ML            32,000      2,51       61,15       61,15       61,15     23,73    31,12       80,18
052504   AGUA TONICA SCHWEPPES QUININO 350ML         3,000      4,26        8,82        8,82        8,82     30,93    44,78       12,77
071729   AGUA TONICA SCHWEPPES S/ACUCAR LATA 35      7,000      4,18       20,73       20,73       20,73     29,08    41,00       29,23
018333   ALCOOL GEL CRISTAL START 500G              10,000      7,99       41,69       41,69       41,69     47,82    91,65       79,90
027959   ALCOOL GEL START LAV 500G                   4,000      7,99       18,40       18,40       18,40     42,43    73,70       31,96
080365   ALCOOL LIQ PURA CASA (46) 1LT              26,000      8,57       99,45      119,60      119,60     46,31    86,24      222,74
080366   ALCOOL LIQ PURA CASA (46) 500ML            15,000      5,49       37,84       45,23       45,23     45,08    82,09       82,35
006005   ALCOOL LIQ SOL (46) 1LT                    75,000      8,50      316,00      367,27      367,27     42,41    73,64      637,75
067096   ALCOOL LIQ SOL (46) 500ML                  52,000      5,49      132,50      155,84      155,84     45,43    83,25      285,57
046469   ALCOOL START GEL ACEND FOGO 500G            2,000      9,99        8,75       10,55       10,55     47,22    89,46       19,98
024724   ALHO A GRANEL KG                          764,910     32,88   14.728,84   16.549,26   16.549,26     34,20    51,96   25.149,05
016448   ALHO EMBALADO KG                           26,624     43,44      525,22      590,13      590,13     48,97    95,97    1.156,47
076161   ALIM C/AMEND ALMOND BREEZE AVEIA 1LT        5,000     17,59       49,96       55,52       55,52     36,88    58,42       87,95
059616   ALIM C/AMEND ALMOND BREEZE BAUN 1LT         5,000     13,59       36,28       40,20       40,20     40,84    69,03       67,95
                               Relatórios de Vendas - Por Produto
SUPER SANTA CLARA LTDA LJ001 - CNPJ : 02.928.531/0001-74                                                Empresa/Filial: 001
Período: 01/03/2025 à 31/03/2025 Famílias: 004,005,006,007,008,011,014
SGLinear: 25.03.07 (vendasecf01) - Usuário: cai - Data/Hora impres.: 28/04/2025 15:28:27
Página 2 de 38


Código   Descrição                                  Quant. Venda Un.     Custo    Compra       C.M.V Margem % Mkp       Venda
064300   ALIM C/AMEND ALMOND BREEZE ORIG ZERO A       2,000    15,99      19,79      22,16      22,16   30,70 44,30       31,98
014066   ALIMENTO SOJA ADES UVA 1LT                   2,000    10,99      11,33      15,42      15,42   29,85 42,54       21,98
061621   ALV VANISH KARPEX 500ML                      2,000    19,99      22,20      30,20      30,20   24,46 32,38       39,98
024341   ALV VANISH PINK MULTIUSO 1,5LT               2,000    36,99      34,23      46,57      46,57   37,05 58,86       73,98
020633   ALV VANISH REF MULTIUSO 500ML               16,000    11,99      88,80     120,80     120,80   37,03 58,81      191,84
024342   ALV VANISH WHITE 1,5LT                       3,000    36,99      54,03      73,50      73,50   33,77 50,98      110,97
019565   ALVEJ VANISH MULTIUSO 500ML                  6,000    14,99      41,53      56,50      56,50   37,19 59,20       89,94
017340   ALVEJ VANISH OXI ACTION MULTI POWER 450G     3,000    32,99      50,70      68,97      68,97   30,31 43,50       98,97
022890   ALVEJ VANISH REF WHITE 500ML                13,000    11,99      72,09      98,07      98,07   37,08 58,94      155,87
021833   ALVEJ VANISH TIRA MANCHAS CRYSTAL WHITE      5,000    32,99      90,84     111,45     111,45   32,43 48,00      164,95
014838   ALVEJ VANISH WHITE 500ML                    11,000    14,99      78,16     103,27     103,27   37,37 59,68      164,89
012294   ALVEJANTE CLORO VD FLO 2LT                   4,000    10,99      27,66      30,49      30,49   30,65 44,20       43,96
007058   ALVEJANTE CLORO VIDA FL 1LT                  8,000     5,49      26,52      29,22      29,22   33,46 50,29       43,92
052607   ALVEJANTE ESTRELA S/CLORO 1LT               20,000     7,99      89,68      98,50      98,50   38,36 62,23      159,80
052608   ALVEJANTE ESTRELA S/CLORO 2LT               24,000    13,49     184,09     202,20     202,20   37,55 60,12      323,76
013079   ALVEJANTE S/CL START TUFF 2LT                3,000    16,99      31,43      34,64      34,64   32,05 47,16       50,97
019641   ALVEJANTE START SEM CLORO 1LT                9,000     8,99      48,87      53,85      53,85   33,45 50,26       80,91
027369   ALVEJANTE YPE FLOR PRIM 1LT                  6,000     6,49      16,87      22,95      22,95   41,06 69,67       38,94
026459   ALVEJANTE YPE FLORE PRIM 2LT                 5,000     9,99      24,15      32,85      32,85   34,23 52,05       49,95
074288   AMACIANTE BABY SOFT CONC VERM 500ML          1,000    12,49       5,53       7,50       7,50   39,95 66,53       12,49
014789   AMACIANTE BABY SOFT DREAMS 2L                2,000    10,99      11,55      14,97      14,97   31,89 46,83       21,98
014791   AMACIANTE BABY SOFT ENVOL 2L                 7,000    10,99      40,69      52,40      52,40   31,89 46,83       76,93
074906   AMACIANTE BABY SOFT INFINITY CARE MARSLA     5,000    10,99      28,60      37,43      37,43   31,89 46,83       54,95
029062   AMACIANTE BABY SOFT S LILAS 2LT              5,000    10,99      28,60      37,43      37,43   31,89 46,83       54,95
014788   AMACIANTE BABY SOFT TRAD.2L                  5,000    10,99      27,51      37,43      37,43   31,89 46,83       54,95
069767   AMACIANTE COMFORT BRISA FLOR 1,8LT           1,000    25,99      12,14      16,51      16,51   36,48 57,44       25,99
070462   AMACIANTE COMFORT CONC BRISA EL LV 500       4,000    12,24      24,36      30,16      30,16   38,40 62,33       48,96
062213   AMACIANTE COMFORT CONC CUID ESSENCIAL 1     10,000    27,09     123,87     168,51     168,51   37,80 60,77      270,91
062216   AMACIANTE COMFORT CONC DELUXE GLAMOUR        1,000    26,99      14,80      18,16      18,16   32,72 48,62       26,99
064039   AMACIANTE COMFORT CONC ESSENCIAL SACH 9      3,000    18,32      30,83      41,95      41,95   23,69 31,05       54,97
064624   AMACIANTE COMFORT CONC FIBER PROT 500M       8,000    11,99      43,33      58,94      58,94   38,55 62,74       95,92
083221   AMACIANTE COMFORT CONC LAV RX 500ML          1,000    12,99       6,45       8,78       8,78   32,41 47,95       12,99
022131   AMACIANTE COMFORT CONC ORIG 500ML           13,000    13,08      83,90     114,14     114,14   32,89 49,02      170,09
050565   AMACIANTE COMFORT CONC ORIG PG400LV500       7,000    12,03      40,86      55,58      55,58   34,02 51,57       84,24
043561   AMACIANTE COMFORT CONC PUR/CUID 500ML       11,000    12,26      58,55      79,64      79,64   40,96 69,37      134,89
052153   AMACIANTE COMFORT CONC PUR/CUID LV500 P      3,000    11,99      18,80      23,07      23,07   35,86 55,92       35,97
062215   AMACIANTE COMFORT CONC SPORTS 1LT            1,000    26,99      14,70      19,99      19,99   25,94 35,02       26,99
067109   AMACIANTE COMFORT PURO CUIDADO 1,8LT         3,000    22,99      31,31      42,61      42,61   38,23 61,88       68,97
068026   AMACIANTE COMFORT TRAD 1,8LT                 4,000    24,99      48,23      65,62      65,62   34,35 52,33       99,96
080327   AMACIANTE CONC AROMASIL SRA CASA CARIN       1,000     9,99       4,42       5,53       5,53   44,64 80,65        9,99
080329   AMACIANTE CONC AROMASIL SRA CASA INSPI       5,000     9,99      22,09      27,65      27,65   44,64 80,65       49,95
075644   AMACIANTE CONC YPE DELICADO SUP REFIL 9      4,000    15,99      30,05      40,88      40,88   36,08 56,44       63,96
075642   AMACIANTE CONC YPE PINK SUP REFIL 900ML      9,000    16,43      67,62      91,99      91,99   37,81 60,79      147,91
066913   AMACIANTE DOWNY CONC ADORAVEL 450ML          9,000    13,20      61,62      83,82      83,82   29,45 41,74      118,81
074120   AMACIANTE DOWNY CONC ADORAVEL 900ML          8,000    23,24     101,97     137,02     137,02   26,30 35,69      185,92
071988   AMACIANTE DOWNY CONC AGUA FRESC 1LT          9,000    21,99     113,56     154,48     154,48   21,95 28,12      197,91
064982   AMACIANTE DOWNY CONC AGUA FRESC 500ML       10,000    12,92      69,51      92,73      92,73   28,23 39,33      129,20
074421   AMACIANTE DOWNY CONC BRISA DE VERAO 1        1,000    35,99      18,34      22,71      22,71   36,89 58,46       35,99
075092   AMACIANTE DOWNY CONC BRISA DE VERAO SC       4,000    26,99      51,49      70,04      70,04   35,12 54,13      107,96
070411   AMACIANTE DOWNY CONC BRISA INTENSO 50       54,000    12,90     368,84     498,16     498,16   28,50 39,87      696,76
081378   AMACIANTE DOWNY CONC BRISA INTENSO SA        7,000    15,99      64,07      82,51      82,51   26,29 35,66      111,93
070596   AMACIANTE DOWNY CONC BRISA INTENSO+PE      115,000    22,14   1.463,70   1.969,19   1.969,19   22,65 29,28    2.545,85
078825   AMACIANTE DOWNY CONC BRISA SUAVE 500ML       2,000    14,99      11,86      14,68      14,68   51,03 104,22      29,98
080058   AMACIANTE DOWNY CONC BRISA SUAVE L500       22,000    12,95     137,61     182,31     182,31   36,03 56,32      284,99
082099   AMACIANTE DOWNY CONC BRISA SUAVE PROM 1     45,000    22,44     532,32     695,16     695,16   31,16 45,27    1.009,89
027681   AMACIANTE DOWNY CONC BRISA VERAO 500M       54,000    13,25     406,74     503,58     503,58   29,62 42,08      715,49
082098   AMACIANTE DOWNY CONC BRISA VERAO PROM      103,000    22,19   1.176,32   1.571,59   1.571,59   31,25 45,46    2.285,97
081379   AMACIANTE DOWNY CONC BRISA VERAO SACH 7      7,000    15,99      63,21      82,51      82,51   26,29 35,66      111,93
043612   AMACIANTE DOWNY CONC FRESC/PRIM 500ML       16,000    13,41     114,04     147,84     147,84   31,09 45,12      214,54
068259   AMACIANTE DOWNY CONC FRESCOR PRIMAVER        2,000    22,99      25,23      34,33      34,33   25,34 33,94       45,98
027679   AMACIANTE DOWNY CONC LIRIO CAMP 500ML       14,000    12,85      95,33     129,69     129,69   27,93 38,76      179,96
061661   AMACIANTE DOWNY CONC LIRIOS DO CAMPO1L      28,000    22,15     358,97     479,86     479,86   22,63 29,25      620,22
066915   AMACIANTE DOWNY CONC MISTICO 450ML          12,000    13,65      84,07     112,53     112,53   31,29 45,54      163,78
067319   AMACIANTE DOWNY CONC MISTICO 900ML           6,000    22,32      75,38     102,55     102,55   23,44 30,61      133,94
066914   AMACIANTE DOWNY CONC PAIXAO 450ML            9,000    13,20      63,82      83,16      83,16   30,01 42,87      118,81
067320   AMACIANTE DOWNY CONC PAIXAO 900ML           15,000    22,19     190,07     256,88     256,88   22,83 29,58      332,85
066260   AMACIANTE DOWNY CONC SENS HIPOALERG 4        7,000    13,02      47,79      65,01      65,01   28,66 40,18       91,13
076456   AMACIANTE FLOM ANTIFRIZZ 500ML               7,000     8,49      30,08      36,83      36,83   38,03 61,38       59,43
076454   AMACIANTE FLOM COLOR PROTECT 500ML           6,000     8,49      25,78      31,57      31,57   38,03 61,38       50,94
061098   AMACIANTE INF VIDA MACIA GLIC/AMENDOAS 5    12,000     7,49      40,03      51,53      51,53   42,67 74,42       89,88
                                 Relatórios de Vendas - Por Produto
SUPER SANTA CLARA LTDA LJ001 - CNPJ : 02.928.531/0001-74                                                    Empresa/Filial: 001
Período: 01/03/2025 à 31/03/2025 Famílias: 004,005,006,007,008,011,014
SGLinear: 25.03.07 (vendasecf01) - Usuário: cai - Data/Hora impres.: 28/04/2025 15:28:27
Página 3 de 38


Código   Descrição                                   Quant. Venda Un.      Custo     Compra        C.M.V Margem % Mkp          Venda
068471   AMACIANTE INF VIDA MACIA GLIC/CAMOMILA 5      2,000     7,49        6,43        8,74        8,74   41,66    71,40       14,98
068805   AMACIANTE INF VIDA MACIA GLI/ AMENDOAS 1      6,000    11,99       35,57       45,90       45,90   36,20    56,73       71,94
080208   AMACIANTE INF VIDA MACIA GLI/ CAMOM 1L       19,000    12,04      107,02      145,59      145,59   36,33    57,06      228,67
081358   AMACIANTE INF VIDA MACIA GLIC/ERVA DOCE 1     4,000    11,99       23,26       31,64       31,64   34,02    51,56       47,96
081357   AMACIANTE INF VIDA MACIA GLIC/ERVA DOCE 5     7,000     7,49       22,34       30,39       30,39   42,04    72,52       52,43
082269   AMACIANTE INF VIDA MACIA GLIC/LAV 1L          8,000    11,99       47,52       64,63       64,63   32,62    48,40       95,92
082268   AMACIANTE INF VIDA MACIA GLIC/LAVANDA 5       6,000     7,49       19,28       26,22       26,22   41,66    71,40       44,94
069968   AMACIANTE MAIS QBOM ACONCHEGO 2L             56,000     5,73      168,32      219,35      219,35   31,61    46,21      320,72
070604   AMACIANTE MAIS QBOM CARINHO 2L               44,000     5,81      139,17      172,35      172,35   32,56    48,27      255,54
070605   AMACIANTE MAIS QBOM INFANCIA 2L              53,000     5,76      160,57      207,60      207,60   32,04    47,14      305,47
031598   AMACIANTE MAIS QBOM NATURAL 2L               58,000     5,78      174,96      227,19      227,19   32,27    47,64      335,42
069967   AMACIANTE MAIS QBOM TERNURA 2L              299,000     5,69      911,66    1.171,18    1.171,18   31,15    45,25    1.701,15
070606   AMACIANTE MAIS QBOM TERNURA 5L               45,000    16,43      330,80      450,00      450,00   39,15    64,34      739,55
079856   AMACIANTE MON BIJOU + CUIDADO BCO 1,7LT      17,000     9,99       97,12      107,01      107,01   36,99    58,71      169,83
079743   AMACIANTE MON BIJOU + MACIEZ RS 1,7LT         3,000     9,99       16,81       18,52       18,52   38,21    61,83       29,97
075402   AMACIANTE MON BIJOU + PROTECAO 5LT            8,000    24,99       95,01      129,24      129,24   35,35    54,69      199,92
082235   AMACIANTE MON BIJOU +PERF FRESCOR LAR 1      18,000     9,99      101,20      111,50      111,50   38,00    61,28      179,82
074459   AMACIANTE MON BIJOU +PERFUME AZUL 1,7LT      22,000     9,99      118,85      137,04      137,04   37,65    60,38      219,78
076469   AMACIANTE MON BIJOU +PROTECAO VERM 1,        12,000     9,98       67,58       74,46       74,46   37,85    60,90      119,80
076743   AMACIANTE MONBIJOU +PERFUME AZUL 5LT         17,000    24,99      197,46      268,65      268,65   36,76    58,14      424,83
007884   AMACIANTE PROEZA EMOCAO 2LT                  64,000     5,99      140,99      191,74      191,74   49,99    99,96      383,42
007885   AMACIANTE PROEZA SENSAC 2LT                   1,000     5,99        2,20        3,00        3,00   49,98    99,93        5,99
068220   AMACIANTE YPE ACONC 5L GT 500ML              32,000    26,03      401,50      546,22      546,22   34,42    52,48      832,87
010637   AMACIANTE YPE ACONCHEGO 500ML                20,000     4,49       41,52       56,48       56,48   37,10    58,99       89,80
049484   AMACIANTE YPE ACONCHEGO LV2L PG1,6L         402,000     9,14    1.854,43    2.522,55    2.522,55   31,36    45,68    3.674,92
010888   AMACIANTE YPE CARINHO 2LT                     3,000     9,99       17,80       24,21       24,21   19,22    23,79       29,97
073292   AMACIANTE YPE CONC BLUE 1,5L GT 250ML         3,000    23,49       31,63       43,03       43,03   38,94    63,77       70,47
080584   AMACIANTE YPE CONC BLUE 10%DESC 500ML        16,000     9,99       72,61       98,77       98,77   38,21    61,83      159,84
062676   AMACIANTE YPE CONC BLUE 1LT                   2,000    19,99       17,95       24,42       24,42   38,92    63,73       39,98
028102   AMACIANTE YPE CONC BLUE 500ML                 1,000    10,99        5,04        6,86        6,86   37,60    60,25       10,99
062791   AMACIANTE YPE CONC DELICADO 1LT               2,000    19,99       16,93       23,04       23,04   42,38    73,55       39,98
062675   AMACIANTE YPE CONC PINK 1LT                   4,000    19,99       35,90       48,84       48,84   38,92    63,73       79,96
054787   AMACIANTE YPE CONC.DELICADO 500ML             8,000    10,99       40,33       54,86       54,86   37,60    60,25       87,92
017760   AMACIANTE YPE DELICADO 2LT                   47,000    10,95      275,95      375,41      375,41   27,04    37,06      514,53
068882   AMACIANTE YPE INTENSO LV2L PG1,6L           470,000     8,88    2.168,11    2.949,25    2.949,25   29,36    41,57    4.175,24
010636   AMACIANTE YPE TERNURA 500ML                   5,000     4,49        9,82       13,35       13,35   40,53    68,16       22,45
067531   AMACIANTE YPE TERNURA LV2L PG1,6L            64,000     8,38      295,23      401,60      401,60   25,10    33,51      536,17
027705   AMEIXA IMPORTADA ROXA BANDEJA KG              2,174    26,99       29,24       29,24       29,24   50,17   100,68       58,68
024739   AMEIXA NACIONAL AGRANEL KG                  253,891    21,16    3.441,11    3.441,11    3.441,11   35,95    56,13    5.372,71
059840   AMEIXA SECA FRUTA DO VALE S/CAR 200G          7,000    16,99       45,59       59,50       59,50   49,97    99,88      118,93
048959   ANIL IMPERIAL COLMAN 90G                      4,000    23,99       79,56       86,06       86,06   10,32    11,50       95,96
024115   ANTI-FERRUG WHITE LUB 300ML                   4,000    15,99       21,04       28,63       28,63   55,24   123,40       63,96
078192   ANTIFERRUGEM KELL LUB 300ML                   6,000    13,96       40,27       49,86       49,86   40,46    67,95       83,74
051292   APERITIVO CROCANTE SUPER FRANGO 300G         16,000    10,99       75,89      103,25      103,25   41,28    70,31      175,84
032958   APRESUNT FRICO FATIADO KG                   293,509    26,99    2.910,44    3.959,44    3.959,44   50,01   100,06    7.921,12
039768   APRESUNT FRICO PC KG                         10,700    17,29      106,10      144,34      144,34   21,98    28,17      185,00
074671   APRESUNT FRICO PONTA KG                      30,056    20,00      298,04      405,46      405,46   32,54    48,25      601,07
074672   APRESUNT SEARA PONTA KG                       1,564    20,99       17,15       21,51       21,51   34,50    52,66       32,83
077256   AROMATIZ HOME SPRAY CASAFLOR BAMBOO 2         1,000    29,99       17,01       18,40       18,40   38,64    62,97       29,99
077257   AROMATIZ HOME SPRAY CASAFLOR HARM LAV         1,000    29,99       17,01       18,40       18,40   38,64    62,97       29,99
077260   AROMATIZ HOME SPRAY CASAFLOR REQ CEDR         1,000    29,99       17,01       18,40       18,40   38,64    62,97       29,99
024737   ASA DE FRANGO AGRANEL KG                    922,694    15,41    9.748,69   11.077,60   11.077,60   22,09    28,35   14.217,89
063386   ASA DE FRANGO RESFRIADA BAND KG              56,334    20,89      597,00      678,38      678,38   42,35    73,47    1.176,75
029402   ASA DE FRANGO SP FRANGO BDJ 1KG              53,000    22,99      629,43      715,24      715,24   41,29    70,34    1.218,32
039646   ATEMOIA AGRANEL KG                           11,460    24,79      152,80      152,80      152,80   46,22    85,93      284,10
067932   BACON DEFUMADO PERDIGAO FATIADO KG           35,306    45,98      817,10      918,08      918,08   43,45    76,83    1.623,48
026890   BACON DEFUMADO PERDIGAO KG                   79,623    45,47    1.842,68    2.070,43    2.070,43   42,81    74,86    3.620,37
027053   BACON DEFUMADO PERDIGAO PEDACO A VACU        70,124    53,89    1.622,80    1.823,37    1.823,37   51,75   107,25    3.779,02
080109   BACON FRICO EM CUBOS 250G                    16,000    12,99      107,34      132,51      132,51   36,24    56,85      207,84
066745   BACON FRICO FATIADO BANDEJA KG                3,460    59,39       93,64      105,22      105,22   48,79    95,29      205,48
030358   BACON FRICO MANTA KG                          6,198    53,99      167,74      188,48      188,48   43,67    77,54      334,63
033039   BACON FRICO PEDACOS KG                       25,545    56,00      677,50      836,42      836,42   41,53    71,03    1.430,52
024718   BACON MANTA SADIA KG                         18,088    42,77      408,13      458,57      458,57   40,72    68,70      773,61
075786   BACON PERDIGAO TABLETE KG                     0,860    48,99       23,28       26,15       26,15   37,92    61,09       42,13
058207   BACON QUALITTI EM CUBOS KG                    0,140    37,36        1,89        2,10        2,10   59,86   149,15        5,23
066430   BACON SADIA FATIADO BANDEJA KG                3,268    52,79       75,62       84,97       84,97   50,75   103,04      172,52
040098   BACON SADIA PEDACO VACUO KG                  47,889    40,69    1.078,81    1.212,14    1.212,14   37,79    60,75    1.948,56
024585   BANANA MACA AGRANEL KG                      847,485     9,08    4.517,03    4.517,03    4.517,03   41,31    70,40    7.696,99
024517   BANANA MARMELO AGRANEL KG                   302,570     7,13    1.249,79    1.249,79    1.249,79   42,08    72,67    2.157,98
024518   BANANA NANICA AGRANEL KG                  6.513,685     3,57   16.218,50   16.218,50   16.218,51   30,18    43,22   23.228,09
                                Relatórios de Vendas - Por Produto
SUPER SANTA CLARA LTDA LJ001 - CNPJ : 02.928.531/0001-74                                                     Empresa/Filial: 001
Período: 01/03/2025 à 31/03/2025 Famílias: 004,005,006,007,008,011,014
SGLinear: 25.03.07 (vendasecf01) - Usuário: cai - Data/Hora impres.: 28/04/2025 15:28:27
Página 4 de 38


Código   Descrição                                    Quant. Venda Un.      Custo     Compra        C.M.V Margem % Mkp           Venda
007262   BANANA NANICA PROMOCAO KG                     27,526     1,87       69,75       69,75       69,75   -35,45   -26,17       51,50
024586   BANANA PRATA AGRANEL KG                    3.716,926     7,58   16.423,18   16.423,18   16.423,17    41,69    71,49   28.164,24
056007   BANANA PRATA PROMOCAO KG                      36,408     2,17      151,33      151,33      151,33   -91,80   -47,86       78,90
024519   BANANA TERRA AGRANEL KG                    1.512,652     4,97    4.967,17    4.967,17    4.967,18    33,97    51,45    7.522,94
067033   BANHA SUINA ALIMENTOS LIDER 600G              13,000    18,99      138,57      188,50      188,50    23,64    30,97      246,87
067034   BANHA SUINA ALIMENTOS LIDER 800G               9,000    24,99      127,68      173,70      173,70    22,77    29,48      224,91
079621   BANHA SUINA SADIA 1KG                         18,000    19,99      178,48      233,82      233,82    35,02    53,89      359,82
010708   BARRAGE CYANAMID/FORT DODGE 20ML              26,000     7,99       96,87       96,87       96,87    53,37   114,45      207,74
