Code,Description,Amount_Sold,Unit_Price,Total_Cost,Buying,COGS,Margin%,MKP%,Total_Sale,text_en
021064,AGUA SANITARIA YPE 1LT,190.0,4.82,491.72,556.13,556.13,39.23,64.55,915.1,YPE 1LT SANITARY WATER
038838,AGUA SANITARIA YPE BOMB 5LT,20.0,19.99,205.64,232.6,232.6,41.82,71.88,399.8,YPE BOMB 5LT SANITARY WATER
026366,AGUA SANITARIA YPE CLORO ATIVO 2LT,143.0,9.0,665.93,753.26,753.26,41.45,70.78,1286.43,YPE WATER YPE CLORO ACTIVE 2LT
078619,AGUA TONICA ANTARCTICA ZERO LT 269ML,63.0,2.59,116.74,116.74,116.74,28.32,39.52,162.87,Agua Tonica Antarctica Zero Lt 269ml
002578,AGUA TONICA ANTARCTICA 350ML,132.0,3.86,369.1,369.1,369.1,27.49,37.92,509.06,Agua Tonica Antarctica 350ml
002579,AGUA TONICA ANTARCTICA DIET 350ML,57.0,3.8,165.87,165.87,165.87,23.33,30.42,216.33,Agua Tonica Antarctica Diet 350ml
066061,AGUA TONICA ANTARCTICA LT 269ML,32.0,2.51,61.15,61.15,61.15,23.73,31.12,80.18,AGUA TONICA ANARCTICA LT 269ml
052504,AGUA TONICA SCHWEPPES QUININO 350ML,3.0,4.26,8.82,8.82,8.82,30.93,44.78,12.77,Water tonica schwepppes quinino 350ml
071729,AGUA TONICA SCHWEPPES S/ACUCAR LATA 35,7.0,4.18,20.73,20.73,20.73,29.08,41.0,29.23,Water tonica schwepppes
018333,ALCOOL GEL CRISTAL START 500G,10.0,7.99,41.69,41.69,41.69,47.82,91.65,79.9,Alcohol gel crystal start 500g
027959,ALCOOL GEL START LAV 500G,4.0,7.99,18.4,18.4,18.4,42.43,73.7,31.96,Alcohol gel start lav 500g
080365,ALCOOL LIQ PURA CASA (46) 1LT,26.0,8.57,99.45,119.6,119.6,46.31,86.24,222.74,Alcohol liq pure house (46) 1LT
080366,ALCOOL LIQ PURA CASA (46) 500ML,15.0,5.49,37.84,45.23,45.23,45.08,82.09,82.35,Alcohol liq pure house (46) 500ml
006005,ALCOOL LIQ SOL (46) 1LT,75.0,8.5,316.0,367.27,367.27,42.41,73.64,637.75,Alcohol Liq Sol (46) 1LT
067096,ALCOOL LIQ SOL (46) 500ML,52.0,5.49,132.5,155.84,155.84,45.43,83.25,285.57,Alcohol Liq Sol (46) 500ml
046469,ALCOOL START GEL ACEND FOGO 500G,2.0,9.99,8.75,10.55,10.55,47.22,89.46,19.98,Alcohol Start Gel Acend Fire 500g
024724,ALHO A GRANEL KG,764.91,32.88,14728.84,16549.26,16549.26,34.2,51.96,25149.05,Garlic a bulk kg
016448,ALHO EMBALADO KG,26.624,43.44,525.22,590.13,590.13,48.97,95.97,1156.47,PACKED Garlic Kg
076161,ALIM C/AMEND ALMOND BREEZE AVEIA 1LT,5.0,17.59,49.96,55.52,55.52,36.88,58.42,87.95,Alim w/amend courier breeze oats 1lt
059616,ALIM C/AMEND ALMOND BREEZE BAUN 1LT,5.0,13.59,36.28,40.2,40.2,40.84,69.03,67.95,Alim w/Amend Dash Breeze Baun 1LT
064300,ALIM C/AMEND ALMOND BREEZE ORIG ZERO A,2.0,15.99,19.79,22.16,22.16,,31.98,,Alim w/AMEND BASY BREEZE ORIG ZERO A
014066,ALIMENTO SOJA ADES UVA 1LT,2.0,10.99,11.33,15.42,15.42,,21.98,,Soy food grape ades 1LT
061621,ALV VANISH KARPEX 500ML,2.0,19.99,22.2,30.2,30.2,,39.98,,Alv Vanish Karpex 500ml
024341,"ALV VANISH PINK MULTIUSO 1,5LT",2.0,36.99,34.23,46.57,46.57,,73.98,,Alv Vanish Pink Multipurpose 1.5LT
020633,ALV VANISH REF MULTIUSO 500ML,16.0,11.99,88.8,120.8,120.8,,191.84,,Alv Vanish Ref Multipurpose 500ml
024342,"ALV VANISH WHITE 1,5LT",3.0,36.99,54.03,73.5,73.5,,110.97,,Alv Vanish White 1.5LT
019565,ALVEJ VANISH MULTIUSO 500ML,6.0,14.99,41.53,56.5,56.5,,89.94,,Alvej Vanish 500ml Multipurpose
017340,ALVEJ VANISH OXI ACTION MULTI POWER 450G,3.0,32.99,50.7,68.97,68.97,,98.97,,Alvej Vanish Oxi Action Multi Power 450g
022890,ALVEJ VANISH REF WHITE 500ML,13.0,11.99,72.09,98.07,98.07,,155.87,,Alvej Vanish Ref White 500ml
021833,ALVEJ VANISH TIRA MANCHAS CRYSTAL WHITE,5.0,32.99,90.84,111.45,111.45,,164.95,,Alvej vanish takes crystal white spots
014838,ALVEJ VANISH WHITE 500ML,11.0,14.99,78.16,103.27,103.27,,164.89,,Alvej vanish white 500ml
012294,ALVEJANTE CLORO VD FLO 2LT,4.0,10.99,27.66,30.49,30.49,,43.96,,BRESH CLORO VD FLO 2LT
007058,ALVEJANTE CLORO VIDA FL 1LT,8.0,5.49,26.52,29.22,29.22,,43.92,,BRESH CHORO VIDA FL 1LT
052607,ALVEJANTE ESTRELA S/CLORO 1LT,20.0,7.99,89.68,98.5,98.5,,159.8,,BRESH STAR S/CHLORO 1LT
052608,ALVEJANTE ESTRELA S/CLORO 2LT,24.0,13.49,184.09,202.2,202.2,,323.76,,BRESH STAR S/CHLORO 2LT
013079,ALVEJANTE S/CL START TUFF 2LT,3.0,16.99,31.43,34.64,34.64,,50.97,,BRESH S/CL START TUFF 2LT
019641,ALVEJANTE START SEM CLORO 1LT,9.0,8.99,48.87,53.85,53.85,,80.91,,BRISE START WITHOUT CHLOO 1LT
027369,ALVEJANTE YPE FLOR PRIM 1LT,6.0,6.49,16.87,22.95,22.95,,38.94,,BRESH YPE FLOWER PRIM 1LT
026459,ALVEJANTE YPE FLORE PRIM 2LT,5.0,9.99,24.15,32.85,32.85,,49.95,,Bleach ype florre prim 2lt
074288,AMACIANTE BABY SOFT CONC VERM 500ML,1.0,12.49,5.53,7.5,7.5,,12.49,,Baby Soft Conc Red 500ml Softener
014789,AMACIANTE BABY SOFT DREAMS 2L,2.0,10.99,11.55,14.97,14.97,,21.98,,Baby Soft Dreams 2l Softener
014791,AMACIANTE BABY SOFT ENVOL 2L,7.0,10.99,40.69,52.4,52.4,,76.93,,Baby Soft Softener 2l
074906,AMACIANTE BABY SOFT INFINITY CARE MARSLA,5.0,10.99,28.6,37.43,37.43,,54.95,,Baby Soft Soft Infinity Care Marsla
029062,AMACIANTE BABY SOFT S LILAS 2LT,5.0,10.99,28.6,37.43,37.43,,54.95,,Baby Soft S Softener 2LT
014788,AMACIANTE BABY SOFT TRAD.2L,5.0,10.99,27.51,37.43,37.43,,54.95,,Baby Soft Soft trad.2l
069767,"AMACIANTE COMFORT BRISA FLOR 1,8LT",1.0,25.99,12.14,16.51,16.51,,25.99,,Softener Comfort Brisa Flower 1.8LT
070462,AMACIANTE COMFORT CONC BRISA EL LV 500,4.0,12.24,24.36,30.16,30.16,,48.96,,Softener Comfort concur brisa el lv 500
062213,AMACIANTE COMFORT CONC CUID ESSENCIAL 1,10.0,27.09,123.87,168.51,168.51,,270.91,,Softener Comfort Conc Cuid Essential 1
062216,AMACIANTE COMFORT CONC DELUXE GLAMOUR,1.0,26.99,14.8,18.16,18.16,,26.99,,Softener Comfort Conc Deluxe Glamor
064039,AMACIANTE COMFORT CONC ESSENCIAL SACH 9,3.0,18.32,30.83,41.95,41.95,,54.97,,Softener Comfort Conc Essential Sach 9
064624,AMACIANTE COMFORT CONC FIBER PROT 500M,8.0,11.99,43.33,58.94,58.94,,95.92,,Softener Comfort Conc Fiber Prot 500m
083221,AMACIANTE COMFORT CONC LAV RX 500ML,1.0,12.99,6.45,8.78,8.78,,12.99,,Softener Comfort Conc Lav RX 500ml
022131,AMACIANTE COMFORT CONC ORIG 500ML,13.0,13.08,83.9,114.14,114.14,,170.09,,Softener Comfort Conc Orig 500ml
050565,AMACIANTE COMFORT CONC ORIG PG400LV500,7.0,12.03,40.86,55.58,55.58,,84.24,,Softener Comfort Conc Orig400lv500
043561,AMACIANTE COMFORT CONC PUR/CUID 500ML,11.0,12.26,58.55,79.64,79.64,,134.89,,Softener Comfort Conc Pur/CuiD 500ml
052153,AMACIANTE COMFORT CONC PUR/CUID LV500 P,3.0,11.99,18.8,23.07,23.07,,35.97,,Softener Comfort Conc Pur/Cuid LV500 P
062215,AMACIANTE COMFORT CONC SPORTS 1LT,1.0,26.99,14.7,19.99,19.99,,26.99,,Softener Comfort Conc Sports 1LT
067109,"AMACIANTE COMFORT PURO CUIDADO 1,8LT",3.0,22.99,31.31,42.61,42.61,,68.97,,Pure Care Comfort Softener 1.8LT
068026,"AMACIANTE COMFORT TRAD 1,8LT",4.0,24.99,48.23,65.62,65.62,,99.96,,Softener Comfort Trad 1.8LT
080327,AMACIANTE CONC AROMASIL SRA CASA CARIN,1.0,9.99,4.42,5.53,5.53,,9.99,,Softener conc aromasil mrsa casa carin
080329,AMACIANTE CONC AROMASIL SRA CASA INSPI,5.0,9.99,22.09,27.65,27.65,,49.95,,Softener conc aromasil Mrsa Casa Inspi
075644,AMACIANTE CONC YPE DELICADO SUP REFIL 9,4.0,15.99,30.05,40.88,40.88,,63.96,,Softener conc ype delicate sup refill 9
075642,AMACIANTE CONC YPE PINK SUP REFIL 900ML,9.0,16.43,67.62,91.99,91.99,,147.91,,Softener conc ype pink sup refill 900ml
066913,AMACIANTE DOWNY CONC ADORAVEL 450ML,9.0,13.2,61.62,83.82,83.82,,118.81,,Softener Downy Conc Adoravel 450ml
074120,AMACIANTE DOWNY CONC ADORAVEL 900ML,8.0,23.24,101.97,137.02,137.02,,185.92,,Softener Downy Conc Adoravel 900ml
071988,AMACIANTE DOWNY CONC AGUA FRESC 1LT,9.0,21.99,113.56,154.48,154.48,,197.91,,Softener Downy Conc Agua Fresc 1LT
064982,AMACIANTE DOWNY CONC AGUA FRESC 500ML,10.0,12.92,69.51,92.73,92.73,,129.2,,Softener Downy Conc water fresh 500ml
074421,AMACIANTE DOWNY CONC BRISA DE VERAO 1,1.0,35.99,18.34,22.71,22.71,,35.99,,Softener Downy Conc Breeze de Verao 1
075092,AMACIANTE DOWNY CONC BRISA DE VERAO SC,4.0,26.99,51.49,70.04,70.04,,107.96,,Softener Downy Conc Brea de Verao SC
070411,AMACIANTE DOWNY CONC BRISA INTENSO 50,54.0,12.9,368.84,498.16,498.16,,696.76,,Softener downy concrete intense 50
081378,AMACIANTE DOWNY CONC BRISA INTENSO SA,7.0,15.99,64.07,82.51,82.51,,111.93,,Softener Downy Conca Intense SA
070596,AMACIANTE DOWNY CONC BRISA INTENSO+PE,115.0,22.14,1463.7,1969.19,1969.19,,2545.85,,Softener Downy Conca Intense+PE
078825,AMACIANTE DOWNY CONC BRISA SUAVE 500ML,2.0,14.99,11.86,14.68,14.68,,29.98,,Softener Downy Conca Soft 500ml
080058,AMACIANTE DOWNY CONC BRISA SUAVE L500,22.0,12.95,137.61,182.31,182.31,,284.99,,Softener Downy Conc BRISA L500
082099,AMACIANTE DOWNY CONC BRISA SUAVE PROM 1,45.0,22.44,532.32,695.16,695.16,,1009.89,,Softener downy concur brisa Prom 1
027681,AMACIANTE DOWNY CONC BRISA VERAO 500M,54.0,13.25,406.74,503.58,503.58,,715.49,,Softener Downy concreo verao 500m
082098,AMACIANTE DOWNY CONC BRISA VERAO PROM,103.0,22.19,1176.32,1571.59,1571.59,,2285.97,,Softener Downy Conc BRISA Verao Prom
081379,AMACIANTE DOWNY CONC BRISA VERAO SACH 7,7.0,15.99,63.21,82.51,82.51,,111.93,,Softener Downy Conc BRISA VERAO SACH 7
043612,AMACIANTE DOWNY CONC FRESC/PRIM 500ML,16.0,13.41,114.04,147.84,147.84,,214.54,,Softener Downy Conc Fresc/Prim 500ml
068259,AMACIANTE DOWNY CONC FRESCOR PRIMAVER,2.0,22.99,25.23,34.33,34.33,,45.98,,Softener Downy Conc Fresh Freshness
027679,AMACIANTE DOWNY CONC LIRIO CAMP 500ML,14.0,12.85,95.33,129.69,129.69,,179.96,,Softener Downy Conc Lirio Camp 500ml
061661,AMACIANTE DOWNY CONC LIRIOS DO CAMPO1L,28.0,22.15,358.97,479.86,479.86,,620.22,,Softener Downy Conc Lyiros do Campo1l
066915,AMACIANTE DOWNY CONC MISTICO 450ML,12.0,13.65,84.07,112.53,112.53,,163.78,,Softener Downy Conc Mistico 450ml
067319,AMACIANTE DOWNY CONC MISTICO 900ML,6.0,22.32,75.38,102.55,102.55,,133.94,,Softener Downy Conc Mistico 900ml
066914,AMACIANTE DOWNY CONC PAIXAO 450ML,9.0,13.2,63.82,83.16,83.16,,118.81,,Softener Downy Concixao 450ml
067320,AMACIANTE DOWNY CONC PAIXAO 900ML,15.0,22.19,190.07,256.88,256.88,,332.85,,Softener Downy Concixao 900ml
066260,AMACIANTE DOWNY CONC SENS HIPOALERG 4,7.0,13.02,47.79,65.01,65.01,,91.13,,Softener Downy Conc Sens HippoAlerg 4
076456,AMACIANTE FLOM ANTIFRIZZ 500ML,7.0,8.49,30.08,36.83,36.83,,59.43,,Flom Antifrizz 500ml Softener
076454,AMACIANTE FLOM COLOR PROTECT 500ML,6.0,8.49,25.78,31.57,31.57,,50.94,,Softener Flom Color Protect 500ml
061098,AMACIANTE INF VIDA MACIA GLIC/AMENDOAS 5,12.0,7.49,40.03,51.53,51.53,,89.88,,Softener inf vida soft glic/almonds 5
068471,AMACIANTE INF VIDA MACIA GLIC/CAMOMILA 5,2.0,7.49,6.43,8.74,8.74,41.66,71.4,14.98,Softener inf vida soft glic/chamomile 5
068805,AMACIANTE INF VIDA MACIA GLI/ AMENDOAS 1,6.0,11.99,35.57,45.9,45.9,36.2,56.73,71.94,Softener inf vida soft gli/ almonds 1
080208,AMACIANTE INF VIDA MACIA GLI/ CAMOM 1L,19.0,12.04,107.02,145.59,145.59,36.33,57.06,228.67,Softener inf vida soft gli/ camc
081358,AMACIANTE INF VIDA MACIA GLIC/ERVA DOCE 1,4.0,11.99,23.26,31.64,31.64,34.02,51.56,47.96,Softener inf vida soft glic/fennel 1
081357,AMACIANTE INF VIDA MACIA GLIC/ERVA DOCE 5,7.0,7.49,22.34,30.39,30.39,42.04,72.52,52.43,Softener inf vida soft glic/fennel 5
082269,AMACIANTE INF VIDA MACIA GLIC/LAV 1L,8.0,11.99,47.52,64.63,64.63,32.62,48.4,95.92,Softener inf vida soft glic/lav 1l
082268,AMACIANTE INF VIDA MACIA GLIC/LAVANDA 5,6.0,7.49,19.28,26.22,26.22,41.66,71.4,44.94,Softener inf vida soft glic/lavender 5
069968,AMACIANTE MAIS QBOM ACONCHEGO 2L,56.0,5.73,168.32,219.35,219.35,31.61,46.21,320.72,MORE SHAITING QBOM SHEET 2L
070604,AMACIANTE MAIS QBOM CARINHO 2L,44.0,5.81,139.17,172.35,172.35,32.56,48.27,255.54,AMACIANTE MAIS QBOM CARINHO 2L
070605,AMACIANTE MAIS QBOM INFANCIA 2L,53.0,5.76,160.57,207.6,207.6,32.04,47.14,305.47,MORE QBOM CHILD FROM 2L
031598,AMACIANTE MAIS QBOM NATURAL 2L,58.0,5.78,174.96,227.19,227.19,32.27,47.64,335.42,Most qbom natural softener 2l
069967,AMACIANTE MAIS QBOM TERNURA 2L,299.0,5.69,911.66,1171.18,1171.18,31.15,45.25,1701.15,MORE qbom softener tenderness 2l
070606,AMACIANTE MAIS QBOM TERNURA 5L,45.0,16.43,330.8,450.0,450.0,39.15,64.34,739.55,More softener qbom tenderness 5l
079856,"AMACIANTE MON BIJOU + CUIDADO BCO 1,7LT",17.0,9.99,97.12,107.01,107.01,36.99,58.71,169.83,Softener Mon Bijou + Care BCO 1.7LT
079743,"AMACIANTE MON BIJOU + MACIEZ RS 1,7LT",3.0,9.99,16.81,18.52,18.52,38.21,61.83,29.97,Softener Mon Bijou + Maciez RS 1.7LT
075402,AMACIANTE MON BIJOU + PROTECAO 5LT,8.0,24.99,95.01,129.24,129.24,35.35,54.69,199.92,Softener Mon Bijou + 5LT Protection
082235,AMACIANTE MON BIJOU +PERF FRESCOR LAR 1,18.0,9.99,101.2,111.5,111.5,38.0,61.28,179.82,Softener Mon Bijou +Perf Fresh Fresh Home
074459,"AMACIANTE MON BIJOU +PERFUME AZUL 1,7LT",22.0,9.99,118.85,137.04,137.04,37.65,60.38,219.78,Softener Mon Bijou +Blue Perfume 1.7LT
076469,"AMACIANTE MON BIJOU +PROTECAO VERM 1,",12.0,9.98,67.58,74.46,74.46,37.85,60.9,119.8,"Softener Mon Bijou +Red Protection 1,"
076743,AMACIANTE MONBIJOU +PERFUME AZUL 5LT,17.0,24.99,197.46,268.65,268.65,36.76,58.14,424.83,Softener Monbijou +Blue Perfume 5LT
007884,AMACIANTE PROEZA EMOCAO 2LT,64.0,5.99,140.99,191.74,191.74,49.99,99.96,383.42,Softener Feature Emocao 2LT
007885,AMACIANTE PROEZA SENSAC 2LT,1.0,5.99,2.2,3.0,3.0,49.98,99.93,5.99,Softener Sensac 2Lt
068220,AMACIANTE YPE ACONC 5L GT 500ML,32.0,26.03,401.5,546.22,546.22,34.42,52.48,832.87,Softener ype access 5l gt 500ml
010637,AMACIANTE YPE ACONCHEGO 500ML,20.0,4.49,41.52,56.48,56.48,37.1,58.99,89.8,Softener ype warmth 500ml
049484,"AMACIANTE YPE ACONCHEGO LV2L PG1,6L",402.0,9.14,1854.43,2522.55,2522.55,31.36,45.68,3674.92,Softener YPE GOODGO LV2L PG1.6L
010888,AMACIANTE YPE CARINHO 2LT,3.0,9.99,17.8,24.21,24.21,19.22,23.79,29.97,Softener ype affection 2lt
073292,"AMACIANTE YPE CONC BLUE 1,5L GT 250ML",3.0,23.49,31.63,43.03,43.03,38.94,63.77,70.47,Softener ype concur Blue 1.5L GT 250ml
080584,AMACIANTE YPE CONC BLUE 10%DESC 500ML,16.0,9.99,72.61,98.77,98.77,38.21,61.83,159.84,Softener ype concur blue 10%des 500ml
062676,AMACIANTE YPE CONC BLUE 1LT,2.0,19.99,17.95,24.42,24.42,38.92,63.73,39.98,Softener Ype Conc Blue 1LT
028102,AMACIANTE YPE CONC BLUE 500ML,1.0,10.99,5.04,6.86,6.86,37.6,60.25,10.99,Softener ype concur blue 500ml
062791,AMACIANTE YPE CONC DELICADO 1LT,2.0,19.99,16.93,23.04,23.04,42.38,73.55,39.98,Softener ype conc delicate 1LT
062675,AMACIANTE YPE CONC PINK 1LT,4.0,19.99,35.9,48.84,48.84,38.92,63.73,79.96,Softener ype conc pink 1lt
054787,AMACIANTE YPE CONC.DELICADO 500ML,8.0,10.99,40.33,54.86,54.86,37.6,60.25,87.92,Softener ype conc.Delicated 500ml
017760,AMACIANTE YPE DELICADO 2LT,47.0,10.95,275.95,375.41,375.41,27.04,37.06,514.53,Delicate Ype Softener 2LT
068882,"AMACIANTE YPE INTENSO LV2L PG1,6L",470.0,8.88,2168.11,2949.25,2949.25,29.36,41.57,4175.24,Softener Ype Intense LV2L PG1.6L
010636,AMACIANTE YPE TERNURA 500ML,5.0,4.49,9.82,13.35,13.35,40.53,68.16,22.45,Softener ype tenderness 500ml
067531,"AMACIANTE YPE TERNURA LV2L PG1,6L",64.0,8.38,295.23,401.6,401.6,25.1,33.51,536.17,Softener ype tenderness lv2l pg1.6l
027705,AMEIXA IMPORTADA ROXA BANDEJA KG,2.174,26.99,29.24,29.24,29.24,50.17,100.68,58.68,Imported Purple Purple Tray Kg
024739,AMEIXA NACIONAL AGRANEL KG,253.891,21.16,3441.11,3441.11,3441.11,35.95,56.13,5372.71,National Plum Agranel Kg
059840,AMEIXA SECA FRUTA DO VALE S/CAR 200G,7.0,16.99,45.59,59.5,59.5,49.97,99.88,118.93,Dry Plum Fruit of the Valley S/CAR 200g
048959,ANIL IMPERIAL COLMAN 90G,4.0,23.99,79.56,86.06,86.06,10.32,11.5,95.96,Anil Imperial Colman 90g
024115,ANTI-FERRUG WHITE LUB 300ML,4.0,15.99,21.04,28.63,28.63,55.24,123.4,63.96,Anti-Ferrug White Lub 300ml
078192,ANTIFERRUGEM KELL LUB 300ML,6.0,13.96,40.27,49.86,49.86,40.46,67.95,83.74,Kell lub 300ml antiferge
